FID,(atom depth)-seq,Multiplicity seq
1, C 0 O 1, 2
2, C 0 Cl 1, 1
3, C 0 C 1, 1
4, C 0 O 1, 1
5, C 0 C 1 C 2, 1 1
6, C 0 O 1 C 2, 1 1
7, C 0 Br 1, 1
8, C 0 F 1, 1
9, N 0 C 1, 1
10, C 0 C 1 O 2, 1 1
11, C 0 C 1 C 1, 1 1
12, C 0 N 1, 1
13, N 0 C 1 C 2, 1 1
14, O 0 C 1 C 2, 1 1
15, C 0 C 1 C 2 C 2, 1 1 1
16, C 0 C 1 C 2, 1 2
17, C 0 N 1 C 2 C 2 O 1, 1 1 1 2
18, O 0 C 1 C 2 O 2, 1 1 2
19, C 0 O 1 O 1 C 2, 2 1 1
20, C 0 C 1 N 2, 1 3
21, N 0 C 1 C 2 C 2, 1 1 1
22, C 0 N 1 C 2 C 2, 1 1 1
23, C 0 N 1 C 2 O 1, 1 1 2
24, C 0 C 1 O 2 O 1, 1 1 2
25, C 0 C 1 C 2 O 2, 1 1 2
26, C 0 C 1 O 2 O 1, 1 1 1
27, N 0 C 1 C 2 C 1 C 2, 1 1 1 1
28, C 0 C 1 C 2 C 2 C 2, 1 1 1 1
29, C 0 S 1, 2
30, C 0 C 1 O 2, 1 2
31, C 0 S 1 C 2, 1 1
32, C 0 Cl 1 Cl 1, 1 1
33, C 0 I 1, 1
34, C 0 C 1 C 1 C 2, 1 1 1
35, C 0 C 1 C 2 O 1, 1 1 2
36, C 0 C 1 C 1 C 1, 1 1 1
37, C 0 C 1 C 2 C 2, 2 1 1
38, O 0 C 1 C 2 C 2, 1 1 1
39, C 0 C 1 F 2 F 2 F 2, 1 1 1 1
40, N 0 C 1 C 2 O 2, 1 1 2
41, C 0 C 1 Cl 2, 1 1
42, C 0 C 1 Cl 2 Cl 2 Cl 2, 1 1 1 1
43, C 0 C 1 C 2 O 2, 1 1 1
44, C 0 C 1, 2
45, C 0 C 1 C 2, 1 3
46, S 0 C 1 C 2, 1 1
47, C 0 C 1 C 2, 2 1
48, N 0 C 1 C 2 C 2 C 2, 1 1 1 1
49, C 0 C 1 Cl 2 O 1, 1 1 2
50, C 0 C 1 Br 2, 1 1
51, C 0 C 1 Cl 2 Cl 2, 2 1 1
52, C 0 C 1 O 1, 1 2
53, C 0 C 1 N 2 O 2, 1 1 2
54, C 0 C 1 O 1, 1 1
55, C 0 C 1 C 2 O 1, 1 3 1
56, C 0 C 1 C 1, 1 2
57, C 0 C 1 Cl 2 Cl 2, 1 1 1
58, N 0 C 1 N 2 O 2, 1 1 2
59, O 0 C 1 O 2, 1 2
60, C 0 C 1 C 2 O 1, 1 1 1
61, C 0 C 1 C 2 C 2 O 2, 1 1 1 1
62, C 0 S 1, 1
63, C 0 C 1 C 2 C 2, 1 1 2
64, C 0 C 1 C 2 C 1 O 2, 1 1 1 2
65, C 0 C 1 C 2 C 1 C 2 C 2, 1 1 1 1 1
66, C 0 C 1 C 2 C 1 C 2, 1 1 1 1
67, O 0 C 1 N 2 O 2, 1 1 2
68, C 0 C 1 Cl 2 Cl 2 Cl 1, 2 1 1 1
69, N 0 C 1 O 1 C 2, 1 1 1
70, C 0 C 1 C 2 O 2 O 1, 1 1 2 1
71, C 0 C 1 C 2 C 1 O 2, 1 1 1 1
72, C 0 C 1 C 2 C 2 C 1 C 2 C 2, 1 1 1 1 1 1
73, C 0 C 1 C 1 C 2 O 1, 1 1 1 1
74, C 0 C 1 C 2 C 1 C 2, 1 1 2 1
75, C 0 C 1 C 1 C 2, 1 1 3
76, C 0 N 1 C 2 C 2 S 1, 1 1 1 2
77, C 0 C 1 C 2 C 1 O 2, 2 1 1 2
78, C 0 N 1 C 2, 1 1
79, C 0 C 1 F 2 F 2 F 2 Cl 1, 1 1 1 1 1
80, N 0 C 1 O 2, 1 2
81, N 0 C 1 C 2 C 2 C 1 C 2 C 2, 1 1 1 1 1 1
82, O 0 C 1 F 2 F 2, 1 1 1
83, C 0 C 1 C 1 C 2 O 1, 1 1 2 1
84, C 0 C 1 Cl 1, 1 1
85, C 0 N 1 C 2 C 2 N 1 C 2 C 2 O 1, 1 1 1 1 1 1 2
86, C 0 C 1 C 2 C 1 C 2, 1 1 1 2
87, C 0 C 1 C 2 C 1 C 2 O 2, 1 1 1 1 2
88, C 0 C 1 C 1 C 2 O 2, 1 1 1 2
89, O 0 C 1 C 2 C 2 C 1 C 2 O 2, 1 1 1 1 1 2
90, C 0 C 1 C 1 C 2 C 1 C 2 O 1, 1 1 1 1 1 1
91, C 0 C 1 C 1 C 2 C 1 C 2, 1 1 1 1 1
92, C 0 C 1 Cl 2 Cl 1, 2 1 1
93, C 0 C 1 C 1 C 2 C 1 C 2 C 2, 1 1 1 1 1 1
94, N 0 C 1 C 1, 1 1
95, C 0 C 1 C 2 C 1 Br 2, 1 1 1 1
96, O 0 C 1 C 2 C 1 C 2, 1 1 1 2
97, C 0 C 1 Cl 2 Cl 2 Cl 1 Cl 1, 1 1 1 1 1
98, C 0 C 1, 3
99, S 0 C 1 C 2 C 2 C 1 C 2 C 2, 1 1 1 1 1 1
100, C 0 C 1 C 1 Cl 1, 1 1 1
101, C 0 N 1 N 2 O 1, 1 1 2
102, O 0 C 1 C 2 C 1 C 2, 1 1 1 1
103, C 0 C 1 C 2 C 1 C 2 Br 1, 1 1 1 1 1
104, C 0 C 1 C 1 O 1, 1 1 1
105, C 0 C 1 Br 2 Br 2, 2 1 1
106, C 0 C 1 C 2 C 1 C 2 O 1, 1 1 1 1 2
107, C 0 C 1 C 2 C 1 C 2 C 1 O 2, 1 1 1 1 1 2
108, C 0 C 1 C 1 C 1 C 2 C 1 O 2, 1 1 1 1 1 1
109, C 0 C 1 C 2 C 1 C 2 C 2 C 2, 1 1 1 1 1 1
110, C 0 C 1 C 2 C 1 S 2, 1 1 1 1
111, C 0 C 1 C 1 C 1 O 2, 1 1 1 1
112, C 0 C 1 F 2, 1 1
113, C 0 C 1 C 2 C 2 C 1 C 2 C 2 C 2, 1 1 1 1 1 1 1
114, C 0 C 1 C 1 O 1 C 2, 1 1 1 1
115, S 0 C 1 C 2 C 1 C 2, 1 1 1 1
116, S 0 C 1 C 2 O 2, 1 1 2
117, C 0 C 1 C 2 O 1 O 1 C 2, 1 1 2 1 1
118, O 0 C 1, 1
119, C 0 C 1 C 2 C 1 C 2 C 2, 1 1 1 1 2
120, C 0 C 1 C 2 C 1 C 2, 1 1 1 3
121, C 0 C 1 C 2 O 1, 1 2 1
122, C 0 C 1 C 1 C 2 C 1 O 2, 1 1 1 1 1
123, C 0 C 1 C 1 C 2 C 1 C 2 O 2, 1 1 1 1 1 2
124, C 0 N 1 N 2, 1 1
125, C 0 C 1 C 1 C 1, 1 1 2
126, C 0 C 1 C 2 C 1 C 2 O 1, 1 1 1 1 1
127, C 0 C 1 C 2 C 2 C 1 C 2 C 2 O 1, 1 1 1 1 1 1 1
128, C 0 C 1 Cl 2 Cl 2 Cl 2 O 1, 1 1 1 1 1
129, C 0 C 1 C 2 C 2 C 1 C 2 C 2 O 2, 1 1 1 1 1 1 1
130, C 0 C 1 C 2 C 2 C 2 O 1, 1 1 1 1 2
131, C 0 C 1 C 2 Cl 2, 1 2 1
