CID,na_in_C4,na_ex_Cl1,bd_in_2,LeafAC_C4_C4_1,C4_2_C4_2_1,C4_2_O2_2_1,C4_3_C4_3_2,FC_11_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,C4_2_N3_3_1,dg_in_1,FC_30_C4_0_O2_1_C4_1_H1_2_H1_2_H1_2_/_2_1_1_1_1_/_0_0_0_0_0_0,LeafAC_C4_O2_1,FC_28_C4_0_O2_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,na_ex_F1,na_in_S2,FC_78_C4_0_H1_1_H1_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_63_C4_0_H1_1_H1_1_N3_1_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,LeafAC_O2_N3_1,FC_36_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,ms
298,0.409091,0.2,0.272727,0.0,0.142857,0.0,0.0,0.5,0.0,0.5,0,0.0,0,0.0,0,0,0,0.5,1,0.318036
3958,0.681818,0.2,0.636364,0.0,0.285714,0.0,0.166667,0.5,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.332214
4616,0.681818,0.1,0.636364,0.0,0.285714,0.0,0.166667,0.5,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.271909
6251,0.181818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0.150247
3365,0.590909,0.0,0.636364,0.0,0.0,0.0,0.166667,0.0,0.571429,0.0,0,0.0,0,0.666667,0,0,0,0.0,0,0.258936
3335,0.681818,0.0,0.545455,0.0,0.571429,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.188124
568,0.545455,0.0,0.545455,0.0,0.571429,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.204592
240,0.272727,0.0,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.181301
135401907,0.227273,0.0,0.272727,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.297754
5373493,0.227273,0.0,0.181818,0.0,0.142857,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0,0,0,1.0,0,0.335019
6115,0.272727,0.0,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.130838
7111,0.545455,0.0,0.545455,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.154427
135398634,0.227273,0.0,0.272727,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.282712
597,0.181818,0.0,0.181818,0.0,0.142857,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.233854
10008,0.272727,0.0,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.333333,0,0,0,0.0,0,0.204592
7368,0.272727,0.0,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,0,0,0,0.0,0,0.298789
7519,0.272727,0.0,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.333333,0,0.0,0,0,0,0.0,0,0.136661
1302,0.5,0.0,0.454545,0.166667,0.0,0.0,0.166667,0.0,0.0,0.5,0,0.333333,0,0.0,0,0,0,0.0,0,0.173037
6713927,0.590909,0.1,0.272727,0.166667,0.0,0.0,0.333333,0.0,0.0,0.0,0,1.0,0,0.0,0,0,0,0.0,0,0.217736
7150,0.318182,0.0,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.5,0,0.333333,0,0.0,0,0,0,0.0,0,0.180439
4485,0.590909,0.0,0.454545,0.333333,0.285714,0.0,0.333333,0.0,0.0,1.0,0,0.666667,0,0.0,0,0,0,0.5,0,0.207119
5288826,0.727273,0.0,0.363636,0.0,0.142857,0.0,0.333333,0.5,0.142857,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.15704
3016,0.681818,0.1,0.636364,0.0,0.285714,0.0,0.166667,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.238187
69860,0.181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.216033
4926,0.681818,0.0,0.545455,0.0,0.857143,0.0,0.0,0.0,0.142857,0.5,0,0.0,0,0.0,1,0,0,0.0,0,0.155681
5568,0.681818,0.0,0.545455,0.0,0.571429,0.0,0.166667,0.0,0.142857,0.5,0,0.0,0,1.0,1,0,0,0.0,0,0.214702
3696,0.772727,0.0,0.545455,0.0,1.0,0.0,0.0,0.0,0.142857,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.107979
31374,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0,0,0.0,0,0.0850334
11,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.440991
7964,0.272727,0.1,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.278863
727,0.272727,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.646595
17348,0.545455,0.5,0.545455,0.0,0.285714,0.0,0.5,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.575124
16318,0.545455,1.0,0.545455,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,1.0
4754,0.272727,0.0,0.272727,0.333333,0.142857,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0.143976
51605,0.681818,0.0,0.545455,0.166667,0.571429,0.5,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.168804
24743,0.636364,0.0,0.545455,0.166667,0.428571,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.198871
2337,0.318182,0.0,0.272727,0.166667,0.142857,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.159698
8058,0.0909091,0.0,0.0,0.333333,0.142857,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0.00351642
8003,0.0454545,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
12180,0.0909091,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,1.0,0,0.333333,0,0.0,0,0,0,0.0,0,0.0959024
12309,0.0454545,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0540988
7854,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.101941
589615,0.272727,0.0,0.454545,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.236559
