CID,n,cs,ch,bl_2,ms,dg_co_1,dg_co_2,dg_co_3,dg_co_4,dg_nc_1,dg_nc_2,dg_nc_3,dg_nc_4,bd_co_2,bd_co_3,bd_in_2,bd_in_3,bd_ex_2,bd_ex_3,ns_co_C3,ns_co_C2,ns_co_O2,ns_co_N2,ns_co_N3,ns_co_C4,ns_nc_O1,ns_nc_C2,ns_nc_C3,ns_nc_C1,ns_nc_N3,ns_nc_O2,ns_nc_N1,ns_nc_C4,ns_nc_N2,ec_co_C2_C3_2,ec_co_C2_C2_1,ec_co_C2_C3_1,ec_co_C2_C2_2,ec_co_C3_C3_1,ec_co_C3_O2_1,ec_co_C3_N2_1,ec_co_C2_N2_1,ec_co_C3_N3_1,ec_co_C2_N3_1,ec_co_C2_N2_2,ec_co_C3_C3_2,ec_co_N2_N2_2,ec_co_C2_O2_1,ec_co_C4_C4_1,ec_co_C3_C4_1,ec_co_C2_C4_1,ec_co_C4_O2_1,ec_co_C3_N2_2,ec_in_C3_C2_1,ec_in_C2_C2_2,ec_in_O2_C2_1,ec_in_C2_C2_1,ec_in_C3_C3_1,ec_in_C3_O2_1,ec_in_C3_C4_1,ec_in_C2_C3_1,ec_in_C3_N3_1,ec_in_O2_C3_1,ec_in_C2_O2_1,ec_in_N3_C2_1,ec_in_C3_N2_1,ec_ex_C3_C2_1,ec_ex_C2_O1_2,ec_ex_C3_C3_1,ec_ex_C3_O1_1,ec_ex_C3_O1_2,ec_ex_C2_O1_1,ec_ex_C2_C2_1,ec_ex_C3_C1_1,ec_ex_N3_C1_1,ec_ex_C3_N3_1,ec_ex_O2_C1_1,ec_ex_C3_O2_1,ec_ex_C4_C1_1,ec_ex_C2_C1_1,ec_ex_C2_C1_2,ec_ex_C3_N1_1,ec_ex_O2_C2_1,ec_ex_C3_C1_2,ec_ex_O2_O1_1,ec_ex_C4_O2_1,ec_ex_N3_C2_1,ec_ex_C2_N1_3,ec_ex_N2_C1_1,ec_ex_C3_N2_1,ec_ex_N2_N1_1,ec_ex_C2_C2_2,ec_ex_N2_C2_2,ec_ex_C3_C4_1,ec_ex_O2_C3_1,ec_ex_C2_C3_1,nsH
240,8,6,2,0,125,0,5,1,0,1,1,0,0,3,0,0,0,1,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
241,6,6,0,0,120,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
243,9,6,2,0,128.889,0,5,1,0,2,0,1,0,3,0,0,0,1,0,1,5,0,0,0,0,2,0,1,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
244,8,6,2,0,125,0,5,1,0,1,1,0,0,3,0,0,0,0,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
289,8,6,1,0,130,0,4,2,0,2,0,0,0,3,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
307,10,6,4,1,124,0,5,1,0,1,3,0,0,3,0,1,0,1,0,1,5,0,0,0,0,1,3,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
323,11,10,1,0,127.273,0,7,3,0,1,0,0,0,4,0,0,0,1,0,3,6,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
335,8,6,1,0,125,0,4,2,0,2,0,0,0,3,0,0,0,0,0,2,4,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
342,8,6,1,0,125,0,4,2,0,2,0,0,0,3,0,0,0,0,0,2,4,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
785,8,6,1,0,130,0,4,2,0,2,0,0,0,3,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
798,9,9,0,0,122.222,0,7,2,0,0,0,0,0,4,0,0,0,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
931,10,10,0,0,120,0,8,2,0,0,0,0,0,5,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
942,12,11,1,0,123.333,0,8,3,0,1,0,0,0,3,0,0,0,0,0,2,7,0,1,1,0,0,0,0,1,0,0,0,0,0,1,3,2,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
949,9,6,2,0,122.222,0,5,1,0,2,0,1,0,3,0,0,0,0,0,1,5,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
996,7,6,1,0,125.714,0,5,1,0,1,0,0,0,3,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1049,6,6,0,0,123.333,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1057,9,6,1,0,133.333,0,3,3,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1140,7,6,1,0,120,0,5,1,0,1,0,0,0,3,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1183,11,6,2,0,130.909,0,3,3,0,3,2,0,0,3,0,0,0,1,0,3,3,0,0,0,0,2,1,0,1,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1254,11,6,2,0,123.636,0,3,3,0,4,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2272,14,14,0,0,122.857,0,12,2,0,0,0,0,0,7,0,0,0,0,0,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2345,16,15,1,0,125,0,12,3,0,1,0,0,0,6,0,0,0,1,0,3,11,1,0,0,0,1,0,0,0,0,0,0,0,0,2,4,3,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2537,11,7,1,0,123.636,0,3,2,2,4,0,0,0,0,0,0,0,1,0,2,3,0,0,0,2,1,0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
