CID,FC_2_C4_0_/_/_0,FC_16_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,C4_2_C4_2_1,FC_13_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_9_C4_0_Cl1_1_/_1_/_0_0,C4_2_N3_3_1,n,dg_in_4,FC_19_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,C4_2_O2_2_1,FC_21_C4_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0,N3_3_N3_3_1,C4_2_S2_2_1,FC_33_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_24_C4_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,FC_34_N3_0_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,N3_2_N3_3_1,bd_in_2,C4_2_N3_2_1,dg_4,LeafAC_C4_C4_1,FC_12_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0,C4_2_C4_3_2,FC_46_C4_0_H1_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,C4_4_O2_2_1,LeafAC_C4_C4_2,ms,FC_1_C4_0_H1_1_/_1_/_0_0,FC_5_C4_0_O2_1_/_2_/_0_0,na_ex_N3
904,0.125,0.0,0.181818,0.0,0.0,0.0,0.08,0,1,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.333333,0.0,0.166667,0,0,0,0.15137,0.416667,0.0,0.0
60961,0.25,0.0,0.0,0.666667,0.0,0.142857,0.44,0,0,0,0,0,0.0,0,0,0,0.0,0.333333,0.333333,0.0,0.0,0.5,0.0,0,0,0,0.282833,0.25,0.0,0.25
135401907,0.25,0.0,0.0,0.0,0.0,0.0,0.08,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.333333,0.0,0.0,0.0,0.0,0,0,0,0.428314,0.166667,0.25,0.0
5578,0.25,0.0,0.0,0.0,0.0,0.0,0.52,0,0,0,0,0,0.0,0,0,0,0.0,0.555556,0.333333,0.0,0.0,1.0,0.5,0,0,0,0.186466,0.25,0.0,0.5
1986,0.125,0.0,0.0,0.0,0.0,0.0,0.2,0,1,0,0,0,0.0,0,0,0,0.0,0.111111,0.0,0.0,0.333333,0.0,0.0,0,0,0,0.637419,0.0,0.0,0.25
243,0.0,0.0,0.181818,0.0,0.0,0.0,0.04,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.0,0.0,0.166667,0,0,0,0.260498,0.416667,0.0,0.0
2083,0.125,0.0,0.0,0.333333,0.0,0.0,0.36,0,0,0,0,0,0.0,0,0,1,0.0,0.222222,0.333333,0.0,1.0,0.0,0.166667,0,0,0,0.0647749,0.25,0.0,0.0
441074,0.375,0.0,0.0909091,0.333333,0.0,0.285714,0.64,0,0,0,0,0,0.0,0,0,0,0.0,0.444444,0.333333,0.0,0.0,0.0,0.166667,0,0,1,0.113659,0.583333,0.0,0.0
2331,0.0,0.0,0.181818,0.0,0.0,0.0,0.04,0,0,0,1,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.0,0.0,0.166667,0,0,0,0.199905,0.416667,0.0,0.25
27200,0.125,0.0,0.0909091,0.333333,0.0,0.0,0.52,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.0,0.0,0.333333,0,0,0,0.446258,0.333333,0.0,0.0
