CID,n,rank,n_in,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_in_S2,na_in_S6,na_ex_C4,na_ex_Cl1,na_ex_F1,na_ex_N3,na_ex_O2,na_ex_S4,na_ex_S6,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_N3_2_2,C4_2_N3_3_1,C4_2_O2_2_1,C4_2_S2_2_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_N3_2_2,C4_3_N3_3_1,C4_3_O2_2_1,C4_3_S2_2_1,C4_3_S6_4_1,C4_4_C4_4_1,C4_4_N3_2_1,C4_4_O2_2_1,N3_2_N3_2_1,N3_2_N3_3_1,N3_2_O2_2_1,N3_2_S6_4_1,N3_3_N3_3_1,FC_1_C4_0_H1_1_/_1_/_0_0,FC_2_C4_0_/_/_0,FC_3_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_4_N3_0_/_/_0,FC_5_C4_0_O2_1_/_2_/_0_0,FC_6_N3_0_H1_1_/_1_/_0_0,FC_7_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_8_C4_0_O2_1_H1_2_/_1_1_/_0_0_0,FC_9_C4_0_Cl1_1_/_1_/_0_0,FC_10_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_11_O2_0_/_/_0,FC_12_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0,FC_13_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_14_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_15_S6_0_O2_1_O2_1_/_2_2_/_0_0_0,FC_16_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_17_S2_0_/_/_0,FC_18_C4_0_F1_1_/_1_/_0_0,FC_19_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_20_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_21_C4_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0,FC_22_C4_0_S6_1_O2_2_O2_2_N3_2_H1_3_H1_3_/_1_2_2_1_1_1_/_0_0_0_0_0_0_0,FC_23_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_24_C4_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,FC_25_N3_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_26_C4_0_N3_1_O2_2_O2_2_/_1_1_2_/_0_1_-1_0,FC_27_C4_0_H1_1_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_28_C4_0_O2_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_29_C4_0_O2_1_C4_1_H1_2_Cl1_2_Cl1_2_/_2_1_1_1_1_/_0_0_0_0_0_0,FC_30_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_31_C4_0_O2_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_32_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_33_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_34_N3_0_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_35_N3_0_C4_1_N3_2_H1_3_H1_3_N3_2_H1_3_H1_3_/_2_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_36_C4_0_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_37_N3_0_O2_1_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_38_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_39_C4_0_S6_1_O2_2_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_2_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_40_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_41_C4_0_H1_1_N3_1_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0,FC_42_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_/_3_1_1_1_1_/_0_0_0_0_0_0,FC_43_C4_0_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_44_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_45_C4_0_S4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_46_C4_0_H1_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_47_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_48_C4_0_H1_1_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_49_C4_0_H1_1_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_50_C4_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_51_C4_0_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_52_C4_0_H1_1_H1_1_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_1_1_2_1_1_1_/_0_0_0_0_0_0_0_0,FC_53_C4_0_N3_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_/_0_0_0_0_0_0,FC_54_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_55_C4_0_O2_1_H1_2_C4_1_C4_2_H1_3_/_1_1_1_3_1_/_0_0_0_0_0_0,FC_56_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0,FC_57_C4_0_O2_1_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_58_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_59_N3_0_H1_1_C4_1_N3_2_/_1_1_3_/_0_0_0_0,FC_60_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_61_N3_0_S6_1_O2_2_O2_2_N3_2_H1_3_H1_3_/_1_2_2_1_1_1_/_0_0_0_0_0_0_0,FC_62_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,LeafAC_C4_C4_1,LeafAC_C4_C4_2,LeafAC_C4_C4_3,LeafAC_C4_N3_1,LeafAC_C4_O2_1,LeafAC_C4_S4_1,LeafAC_C4_S6_1,LeafAC_Cl1_C4_1,LeafAC_F1_C4_1,LeafAC_N3_C4_1,LeafAC_N3_C4_3,LeafAC_N3_S6_1,LeafAC_O2_C4_1,LeafAC_O2_C4_2,LeafAC_O2_N3_1,LeafAC_O2_N3_2,LeafAC_O2_S4_2,LeafAC_O2_S6_2
904,0.08,0,0.05,0.15137,0,0.2,0,0,0.5,0.0555556,0.1,0,0.222222,0,0.181818,0.166667,0,0,0,0.4,0,0,0,0.111111,0,0,0.181818,0.5,0.111111,0.166667,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416667,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0
60961,0.44,0.333333,0.4,0.282833,0,0.2,0.583333,0,0,0.333333,0.4,0,0.333333,0,0.318182,0.666667,0.5,0,0,0.2,0,0,0.25,0.333333,0,0,0,0,0,0,0,0.333333,0.5,0.142857,0,0,0.444444,0.333333,0,0.25,0.5,0.4,0.666667,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0.666667,0,0,0,0,0,0,0.5,0.5,0.666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0.5,0,0,0,0,0
135401907,0.08,0.166667,0.15,0.428314,0,0.2,0.166667,0,0,0.166667,0.2,0,0.222222,0,0.136364,0.666667,0,0,0,0,0,0,0,0.111111,0,0,0,0,0.111111,0,0,0.333333,0.5,0,0,0,0.111111,0.333333,0,0.375,0,0,0,0,0,0,0,0,1,0,0,0,0,0.166667,0.25,0,0.333333,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0
5578,0.52,0.166667,0.35,0.186466,0,0.2,0.5,0,0,0.388889,0.2,0,0.555556,0,0.409091,0.333333,0,0,0,0.6,0,0,0.5,0.333333,0,0,0,0,0.444444,0.5,0,0.333333,0,0,0,0,0.222222,0.333333,0,0.125,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.0833333,0.333333,0,0,0,0,0,0.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.666667,0,0,0,0,0,0,0,0
1986,0.2,0,0,0.637419,0,0.0666667,0.0833333,0,0.5,0,0.1,0,0.111111,0,0,0.5,0,0.5,0,0.4,0,0,0.25,0.333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.125,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0,0.5
243,0.04,0,0,0.260498,0,0.133333,0,0,0,0.111111,0,0,0.222222,0,0.181818,0,0,0,0,0.2,0,0,0,0.222222,0,0,0.181818,0.5,0.111111,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416667,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0.25,0,0,0,0
2083,0.36,0,0.15,0.0647749,0,0.133333,0.25,0,0.5,0.166667,0.1,0,0.222222,0,0.272727,0.166667,0,0,0,1,0,0,0,0.333333,0,0,0,0.25,0.444444,0.166667,0,0.333333,0,0,0,0,0.111111,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.125,0.0833333,0,0,0,0,0.25,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
441074,0.64,0.5,0.65,0.113659,0,0.466667,0.666667,0,0,0.5,0.6,0,0.444444,0,0.681818,0.333333,0,0,0,0.6,0,0,0,0.222222,0,0,0.0909091,0.5,0.888889,0.166667,0,0.333333,0,0.285714,0,0,0.444444,0.333333,0,0,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0.583333,0.375,0.333333,0.333333,0,0,0,0,0,0.25,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.25,0,0,0,0,0,0,0,0.166667,0,0,0,0,0
2331,0.04,0,0,0.199905,0,0.133333,0,0,0,0.111111,0,0,0.222222,0,0.181818,0,0,0,0,0.2,0,0,0.25,0.111111,0,0,0.181818,0.5,0.111111,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0.25,0,0,0,0
27200,0.52,0,0.2,0.446258,0,0.133333,0.333333,0,0.5,0.222222,0.1,0,0.222222,0,0.318182,0.166667,0,0,0,0.6,0.666667,0,0,0.555556,0,1,0.0909091,0.25,0.222222,0.333333,0,0,0,0,0,0,0.222222,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0.125,0,0,0,0.25,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.666667,0,0,0,0,0.333333,0.25,0,0,0,0.5
2249,0.44,0,0.3,0.0858275,0,0.4,0.166667,0,1,0.222222,0.2,0,0.222222,0,0.363636,0.166667,0.5,0,0,0.8,0,0,0.25,0.222222,0,0,0.0909091,0.25,0.555556,0.333333,0,0.333333,0,0,1,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0.333333,0.25,0.166667,0,0,0,0,0,0,0,0.5,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0.333333,0,0,0.166667,0.25,0,0,0,0
2756,0.36,0,0.3,0.207745,0,0.4,0.166667,0,0.5,0.333333,0.1,0,0.111111,0,0.227273,0.666667,0,0.5,0,0.6,0,0,0.5,0,0,0,0.0909091,0,0.111111,0,0,0.666667,0.25,0,0,0.666667,0,0.333333,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333,0.125,0.25,0.166667,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.333333,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3120,0.24,0,0.1,0.426798,0,0.0666667,0.25,0,0.5,0.111111,0.1,0,0.222222,0,0.227273,0.166667,0,0,0,0.4,0.666667,0,0.25,0.111111,0,0,0,0.25,0.333333,0.166667,0,0,0,0,0,0,0,0.333333,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.125,0,0,0,0.25,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.666667,0,0,0,0,0,0.25,0,0,0,0
667467,0.52,0.333333,0.55,0.255599,0,0.533333,0.416667,0,0.5,0.388889,0.5,0,0.666667,0,0.636364,0,0,0.5,0,0.4,0.333333,0,0.25,0,0,0,0.363636,0.5,0.333333,0.666667,0,0,0,0,0,0,0.333333,0.333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.666667,0.625,0.0833333,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0
