CID,n,cs,ch,bl_2,ms,dg_co_1,dg_co_2,dg_co_3,dg_co_4,dg_nc_1,dg_nc_2,dg_nc_3,dg_nc_4,bd_co_2,bd_co_3,bd_in_2,bd_in_3,bd_ex_2,bd_ex_3,ns_co_O2,ns_co_C2,ns_co_C3,ns_co_N2,ns_co_C4,ns_co_N3,ns_co_S2,ns_nc_C2,ns_nc_C1,ns_nc_O1,ns_nc_C3,ns_nc_N1,ns_nc_C4,ns_nc_O2,ns_nc_N2,ec_co_C2_C2_1,ec_co_C2_O2_1,ec_co_C2_C3_2,ec_co_C2_C3_1,ec_co_C2_C2_2,ec_co_C3_C3_1,ec_co_C3_C3_2,ec_co_C3_O2_1,ec_co_C2_N2_1,ec_co_C4_O2_1,ec_co_C3_C4_1,ec_co_C2_N3_1,ec_co_C2_N2_2,ec_co_C3_N2_1,ec_co_C3_N3_1,ec_co_C2_C4_1,ec_co_C2_S2_1,ec_co_O2_O2_1,ec_in_C3_C2_1,ec_in_C2_C2_1,ec_in_C3_C3_1,ec_in_O2_C2_1,ec_in_C3_O2_1,ec_in_C2_C3_1,ec_in_C3_C4_1,ec_ex_C3_C2_1,ec_ex_C2_C1_2,ec_ex_C3_C1_1,ec_ex_C3_O1_2,ec_ex_C2_C1_1,ec_ex_C2_C3_1,ec_ex_C3_O1_1,ec_ex_C4_C2_1,ec_ex_C2_O1_1,ec_ex_C2_N1_3,ec_ex_C4_C1_1,ec_ex_C3_C4_1,ec_ex_C2_C2_1,ec_ex_C2_O1_2,ec_ex_C3_C3_1,ec_ex_O2_C1_1,ec_ex_C3_O2_1,ec_ex_C3_C1_2,ec_ex_N3_C1_1,ec_ex_C3_N1_1,ec_ex_O2_C2_1,ec_ex_N2_C1_1,ec_ex_C3_N2_1,ec_ex_O2_O1_1,ec_ex_C4_O2_1,nsH
8028,5,5,0,0,128,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
7501,8,6,2,0,120,0,5,1,0,1,1,0,0,3,0,0,0,1,0,0,5,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
7929,8,6,1,0,120,0,4,2,0,2,0,0,0,3,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
7809,8,6,1,0,120,0,4,2,0,2,0,0,0,3,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
4650,8,6,1,0,130,0,4,2,0,2,0,0,0,2,0,0,0,2,0,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6734,12,12,0,0,120,0,8,4,0,0,0,0,0,5,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
7247,9,6,1,0,120,0,3,3,0,3,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
7834,5,3,2,0,128,0,2,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
8027,5,5,0,0,124,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
31268,5,5,0,0,124,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
16606,12,11,1,0,126.667,0,8,3,0,1,0,0,0,3,0,0,0,0,0,2,6,3,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
999,10,6,3,1,128,0,5,1,0,2,1,1,0,3,0,0,0,1,0,0,5,1,0,0,0,0,1,0,2,1,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
46782954,23,12,2,0,139.13,0,3,8,1,8,3,0,0,0,0,0,0,0,0,3,0,8,0,1,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,6,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
8404,10,10,0,0,120,0,8,2,0,0,0,0,0,3,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
8418,14,14,0,0,120,0,10,4,0,0,0,0,0,7,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
7296,6,5,1,0,120,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
31275,6,6,0,0,133.333,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
6811,11,9,1,0,130.909,0,5,4,0,2,0,0,0,3,0,0,0,2,0,1,4,4,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7042,10,6,2,0,124,0,4,2,0,2,2,0,0,3,0,0,0,0,2,0,4,2,0,0,0,0,2,0,0,0,2,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7393,11,6,2,0,123.636,0,4,2,0,4,0,0,1,3,0,0,0,0,0,0,4,2,0,0,0,0,0,3,1,0,0,1,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
7705,10,6,4,1,120,0,5,1,0,1,3,0,0,3,0,0,0,0,0,0,5,1,0,0,0,0,3,1,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14
4101,10,10,0,0,128,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
7967,7,6,1,0,125.714,0,5,1,0,1,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
12161,9,6,2,0,120,0,4,2,0,2,1,0,0,3,0,0,0,1,0,0,4,2,0,0,0,0,1,2,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1049,6,6,0,0,123.333,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7966,7,6,1,0,125.714,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
240,8,6,2,0,125,0,5,1,0,1,1,0,0,3,0,0,0,1,0,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
7768,8,7,1,0,127.5,0,6,1,0,1,0,0,0,0,0,0,0,1,0,0,5,1,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
243,9,6,2,0,128.889,0,5,1,0,2,0,1,0,3,0,0,0,1,0,0,5,1,0,0,0,0,0,0,2,1,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
7410,9,6,2,0,124.444,0,5,1,0,2,0,1,0,3,0,0,0,1,0,0,5,1,0,0,0,0,0,1,1,1,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
7005,11,10,1,0,123.636,0,7,3,0,1,0,0,0,5,0,0,0,0,0,0,7,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
220520,29,24,2,0,126.897,0,10,13,1,3,2,0,0,4,0,0,0,1,0,1,9,11,0,1,2,0,0,2,1,0,0,0,2,0,2,1,3,7,0,5,1,1,0,0,3,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,26
22311,10,6,2,0,120,0,4,2,0,3,0,1,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,3,0,1,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,16
5988,23,12,2,0,139.13,0,3,8,1,8,3,0,0,0,0,0,0,0,0,3,0,8,0,1,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,6,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
61021,12,8,1,0,133.333,0,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
996,7,6,1,0,125.714,0,5,1,0,1,0,0,0,3,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
440917,10,6,2,0,120,0,4,2,0,3,0,1,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,3,0,1,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,16
241,6,6,0,0,120,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7219,9,9,0,0,120,0,7,2,0,0,0,0,0,4,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
7198,14,6,3,2,131.429,0,4,2,0,4,2,2,0,0,0,0,0,2,0,0,4,2,0,0,0,0,0,2,2,2,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,16
91692850,23,12,2,0,139.13,0,3,8,1,8,3,0,0,0,0,0,0,0,0,3,0,8,0,1,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,6,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
7519,8,6,2,0,125,0,5,1,0,1,1,0,0,3,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8
3026,20,6,6,2,128,0,4,2,0,4,8,2,0,3,0,0,0,2,0,0,4,2,0,0,0,0,6,2,2,2,0,0,2,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22
10290825,10,7,1,0,120,0,3,3,1,3,0,0,0,0,0,0,0,1,0,0,3,3,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16
7047,10,10,0,0,122,0,8,2,0,0,0,0,0,5,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
995,14,14,0,0,120,0,10,4,0,0,0,0,0,7,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
13387,7,5,1,0,128.571,0,3,2,0,2,0,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9
7237,8,6,1,0,120,0,4,2,0,2,0,0,0,3,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
638088,14,14,0,0,120,0,12,2,0,0,0,0,0,7,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
8082,6,6,0,0,123.333,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
7362,7,5,2,0,131.429,0,4,1,0,1,1,0,0,2,0,0,0,1,0,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
342,8,6,1,0,125,0,4,2,0,2,0,0,0,3,0,0,0,0,0,0,4,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
4133,11,6,3,1,130.909,0,4,2,0,3,1,1,0,3,0,0,0,1,0,0,4,2,0,0,0,0,0,1,2,1,0,0,1,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8
7583,13,13,0,0,123.077,0,11,2,0,0,0,0,0,6,0,0,0,0,0,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
442021,29,24,2,0,126.897,0,10,13,1,3,2,0,0,4,0,0,0,1,0,1,9,11,0,1,2,0,0,2,1,0,0,0,2,0,2,1,3,7,0,5,1,1,0,0,3,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,26
2347,23,15,6,1,126.957,0,11,4,0,3,4,1,0,6,0,0,0,2,0,1,10,4,0,0,0,0,3,1,2,1,0,0,1,0,4,1,3,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20
