CID,n,LeafAC_C4_O2_1,FC_19_C4_0_H1_1_C4_1_N3_2_/_1_1_3_/_0_0_0_0,FC_24_C4_0_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,C4_3_S2_2_1,N3_2_O2_2_1,C4_2_N3_2_1,C4_2_C4_3_2,FC_20_N3_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,C4_2_C4_3_1,FC_33_C4_0_H1_1_C4_1_Cl1_2_Cl1_2_/_1_2_1_1_/_0_0_0_0_0,FC_28_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_7_C4_0_Cl1_1_/_1_/_0_0,C4_3_C4_3_1,FC_30_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0,rank,C4_2_C4_4_1,FC_53_S6_0_O2_1_O2_1_C4_1_F1_2_F1_2_F1_2_/_2_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_48_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,dg_in_4,N3_2_N3_2_2,C4_2_N3_3_1,na_ex_S6,FC_47_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,na_in_S2,FC_51_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_16_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,dg_1,bd_in_3,FC_61_O2_0_S6_1_O2_2_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_2_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_67_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,LeafAC_C4_S6_1,LeafAC_N3_C4_3,FC_62_C4_0_F1_1_F1_1_/_1_1_/_0_0_0,LeafAC_C4_N3_1,FC_44_C4_0_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_66_C4_0_H1_1_F1_1_/_1_1_/_0_0_0,C4_2_C4_2_2,O2_2_S6_4_1,FC_55_S6_0_O2_1_O2_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_2_2_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_4_O2_2_1,FC_38_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_63_C4_0_O2_1_C4_1_H1_2_Cl1_2_Cl1_2_/_2_1_1_1_1_/_0_0_0_0_0_0,C4_3_C4_4_1,C4_4_C4_4_1,FC_14_S2_0_/_/_0,FC_6_C4_0_O2_1_/_2_/_0_0,FC_36_S2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,na_in_O2,C4_3_O2_2_1
93541,0.952381,0,0,0,0,0,0,0.4,0,0.571429,0,0,0.333333,0.4,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5,0,0,0.5,0,0,0.333333,0,0,1,0,0.666667,0.4
40896,0.380952,0,0,0,0,0,0,0.4,0,0.285714,0,0,0,0.2,0,0.333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36584,0.190476,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42586,0.380952,1,0,0,0,0,0,0.2,0,0.285714,0,0,0,0.4,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0
65651,1,0,0,0,0,0,0,0.6,0,0.857143,0,0,0.666667,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0.333333,0.4
91695,0.47619,0,0,0,0,0,0,0.4,0,1,0,0,0,0,0,0.666667,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.333333,0.4
13450,0.190476,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54886,0.761905,0,0,0,0,0,0,0.2,0,0.428571,0,0,0,0.2,0,0.666667,0.5,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0.5,0,0,0,0,1,1,0,1,0.8
31573,0.238095,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91644,0.428571,0,0,0,0,0,0,0.2,0,0.142857,0,0,0,0.2,0,0.333333,0,0,0,0,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.333333,0
41384,0.666667,0,0,0,0,0,0,0.2,0,0.285714,0,0,0,0.2,0,0.666667,0.5,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0.5,0,0,0,0,1,0.5,0,0.666667,0.6
86211,0.52381,0,0,0,0,0,0.5,0.4,0,0.857143,0,0,0.333333,0,0,1,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,1,0,0.666667,0,0,0,0,0,0
43234,0.47619,0,0,0,0,0,0.5,0.2,0,0.714286,0,0,0.666667,0,0,1,0.5,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,0,0,0.333333,0,0,0,0,0.666667,0.2
135424354,0.142857,0,0,0,0,0,0,0,1,0.142857,0,0,0,0.2,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
4929,0.190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66461,0.380952,0,0,0,0,0,0.5,0.2,0,0.428571,0,0,0.666667,0,0,0.666667,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.333333,0,0,0,0,0,0
4169,0.333333,0.5,0,0,0,0,0,0.2,0,0.285714,0,0,0,0.2,0,0.333333,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
86210,0.47619,0,0,0,0,0,0.5,0.4,0,0.714286,0,0,0.333333,0,0,1,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.333333,1,0,0,0,0,0
13263,0.142857,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86102,0.428571,0,0,0,0,0,0.5,0.4,0,0.428571,0,0,0.333333,0,0,0.666667,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
