CID,logS
5544,-3.3707
4736,-3.8032
2949,-5.507
3640,-3.0461
3003,-3.7945
3512,-4.0718
3016,-3.6402
578771,-4.9073
5172949,-1.6405
14033071,-1.2675
14033046,-1.372
14033041,-2.5625
14033068,-1.7178
14033072,-0.9184
14033042,-1.0897
14033055,-1.5732
14033045,-2.254
14033044,-1.6679
14033080,-2.2373
14033057,-1.6085
14033058,-1.5685
14033059,-2.5011
11265169,-1.7734
14033060,-2.7239
14033061,-3.2638
14033062,-1.3486
14033047,-2.5387
14033077,-2.1416
14033073,-2.0841
14033075,-2.2653
14033048,-2.7321
14033082,-2.2828
12450810,-2.4003
14033083,-2.8664
11195691,-2.7588
2516894,-2.8664
14033069,-1.4983
161366,-4.4685
168707,-4.9066
158895,-5.0706
10360656,-4.6778
158896,-5.8861
1182,-0.3098
323786,-1.7612
256410,-0.7326
259323,-1.0983
4466134,-2.0709
5060023,-1.4703
273262,-1.5768
409682,-0.4056
352038,-0.1748
102468,-0.4333
342733,-0.1132
96806,0.3076
102763,-1.8856
263471,-0.8466
329275,-1.1178
3154,-1.2219
424,-1.2219
236,-1.2924
1986,-2.4949
4100,-1.9208
3295,-4.3979
18794,-2.9208
3866,-1.2676
617,-1.1367
94134,-1.3188
594,-1.1871
68475,-1.4949
17904358,-1.9586
11217587,-2.3979
11435488,-2.8239
303,-2.5918
495539,-4.3468
227033,-4.8239
5645,-4.5686
2987,-4.5528
4782,0.58
4631,0.38
3779,0.14
2249,0.04
4946,-0.48
3869,-1.3
3222,-1.1778
60209604,-1.237
13364600,-4.4733
12736891,-4.2219
12736892,-3.0272
12736884,-4.0245
20033678,-1.1196
13364601,-2.8612
13632766,-2.719
20033692,-1.552
