CID,n,cs,ch,bl_2,ms,dg_co_1,dg_co_2,dg_co_3,dg_co_4,dg_nc_1,dg_nc_2,dg_nc_3,dg_nc_4,bd_co_2,bd_co_3,bd_in_2,bd_in_3,bd_ex_2,bd_ex_3,ns_co_C3,ns_co_N2,ns_co_C2,ns_co_O2,ns_co_C4,ns_co_N3,ns_co_O0,ns_nc_C1,ns_nc_O1,ns_nc_C3,ns_nc_O2,ns_nc_C2,ns_nc_N1,ns_nc_N3,ns_nc_N2,ns_nc_C4,ec_co_C3_N2_1,ec_co_C3_C3_1,ec_co_C2_N2_1,ec_co_C2_C2_1,ec_co_C2_C3_1,ec_co_C3_C3_2,ec_co_C3_O2_1,ec_co_C2_C3_2,ec_co_C2_C4_1,ec_co_C3_C4_1,ec_co_C2_C2_2,ec_co_C4_C4_1,ec_co_C4_N2_1,ec_co_C2_O2_1,ec_co_C3_N2_2,ec_co_N2_N2_1,ec_co_C3_N3_1,ec_co_C2_N3_1,ec_co_C2_N2_2,ec_co_C4_O2_1,ec_co_N2_N2_2,ec_co_O2_O2_1,ec_in_C3_O2_1,ec_in_C3_C2_1,ec_in_C2_C2_2,ec_in_C2_O2_1,ec_in_C3_C3_1,ec_in_O2_C3_1,ec_in_C2_C2_1,ec_in_C2_C3_1,ec_in_C3_C2_2,ec_in_C2_C3_2,ec_in_O2_C2_1,ec_in_C3_N2_1,ec_in_N2_C3_1,ec_in_C2_N2_1,ec_in_O2_O2_1,ec_ex_C3_C1_1,ec_ex_C3_O1_2,ec_ex_C3_C3_1,ec_ex_O2_C2_1,ec_ex_C2_C1_3,ec_ex_O2_C3_1,ec_ex_C3_N1_1,ec_ex_C4_C1_1,ec_ex_C3_N3_1,ec_ex_N3_C1_1,ec_ex_C3_C2_1,ec_ex_C2_O1_1,ec_ex_C2_C2_1,ec_ex_C2_C1_1,ec_ex_C3_O1_1,ec_ex_C2_O1_2,ec_ex_C3_C2_2,ec_ex_C3_C1_2,ec_ex_C4_O1_1,ec_ex_O2_C1_1,ec_ex_C3_O2_1,ec_ex_C2_C2_2,ec_ex_C2_C1_2,ec_ex_C2_C3_1,ec_ex_N2_N1_1,ec_ex_C3_N2_1,ec_ex_C4_C2_1,ec_ex_C2_C3_2,ec_ex_N2_C2_2,ec_ex_N3_C2_1,ec_ex_C2_N1_3,ec_ex_N2_C1_1,ec_ex_C2_O2_1,ec_ex_N2_O1_2,ec_ex_C3_C4_1,ec_ex_O2_O1_1,ec_ex_C4_O2_1,nsH
1065,24,19,2,0,125,0,10,9,0,3,2,0,0,5,0,0,0,1,0,8,1,9,0,0,1,0,2,1,0,1,1,0,0,0,0,0,4,1,1,8,1,0,1,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
1115,23,12,2,0,139.13,0,3,8,1,8,3,0,0,0,0,0,0,0,0,8,0,0,3,1,0,0,0,8,0,0,3,0,0,0,0,0,6,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22
1140,7,6,1,0,120,0,5,1,0,1,0,0,0,3,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1183,11,6,2,0,130.909,0,3,3,0,3,2,0,0,3,0,0,0,1,0,3,0,3,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1254,11,6,2,0,123.636,0,3,3,0,4,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2244,13,6,3,1,132.308,0,4,2,0,4,1,2,0,3,0,0,0,2,0,2,0,4,0,0,0,0,1,3,2,1,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2286,25,23,1,0,126.4,0,16,6,1,2,0,0,0,6,0,0,0,0,0,6,0,12,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,0,4,4,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
2345,16,15,1,0,125,0,12,3,0,1,0,0,0,6,0,0,0,1,0,3,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,3,0,1,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2519,14,9,1,0,131.429,0,2,7,0,5,0,0,0,2,0,0,0,2,0,4,1,1,0,0,3,0,3,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2537,11,7,1,0,123.636,0,3,2,2,4,0,0,0,0,0,0,0,1,0,2,0,3,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2758,11,8,1,0,123.636,0,5,1,2,3,0,0,0,0,0,0,0,0,0,1,0,4,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
3026,20,6,6,2,128,0,4,2,0,4,8,2,0,3,0,0,0,2,0,2,0,4,0,0,0,0,2,2,2,2,6,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
3061,54,43,1,0,129.63,0,21,19,3,11,0,0,0,1,0,0,0,1,0,19,0,14,7,3,0,0,5,6,0,0,0,0,0,0,0,0,8,0,4,15,0,13,1,3,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3249,29,17,6,1,121.379,0,10,6,1,7,2,3,0,2,0,1,0,1,0,6,0,10,0,1,0,0,6,1,3,0,2,0,0,0,0,0,2,0,5,7,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
3291,10,5,2,0,130,0,2,2,1,4,1,0,0,0,0,0,0,2,0,2,1,1,0,1,0,0,2,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
3293,16,10,3,1,123.75,0,5,4,1,4,2,0,0,4,0,0,0,0,0,4,1,4,0,1,0,0,4,0,0,1,1,0,0,0,0,1,1,0,0,3,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
3314,12,6,3,1,126.667,0,3,3,0,3,3,0,0,3,0,0,0,1,0,3,0,3,0,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
3610,14,6,6,1,125.714,0,3,3,0,3,5,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,1,2,0,0,5,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
4650,8,6,1,0,130,0,4,2,0,2,0,0,0,2,0,0,0,2,0,2,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4837,6,6,0,0,126.667,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
4944,15,6,4,2,129.333,0,4,2,0,4,3,2,0,3,0,0,0,1,0,2,0,4,0,0,0,0,3,1,2,2,0,0,0,1,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,15
4947,15,6,5,1,133.333,0,2,4,0,5,3,1,0,3,0,0,0,1,0,4,0,2,0,0,0,0,1,4,1,1,2,0,0,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
5052,44,29,3,1,129.091,0,12,17,0,8,6,1,0,7,0,0,0,2,0,16,1,10,1,0,1,0,6,2,1,6,0,0,0,0,0,2,8,0,1,11,3,2,3,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
5054,8,6,1,0,130,0,4,2,0,2,0,0,0,3,0,0,0,0,0,2,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
5147,10,6,2,0,130,0,4,2,0,3,0,1,0,3,0,0,0,1,0,2,0,4,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
5770,44,29,3,1,129.091,0,12,17,0,8,6,1,0,7,0,0,0,2,0,16,1,10,1,0,1,0,6,2,1,6,0,0,0,0,0,2,8,0,1,11,3,2,3,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
5953,24,19,2,0,125,0,10,9,0,3,2,0,0,5,0,0,0,1,0,8,1,9,0,0,1,0,2,1,0,1,1,0,0,0,0,0,4,1,1,8,1,0,1,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
5988,23,12,2,0,139.13,0,3,8,1,8,3,0,0,0,0,0,0,0,0,8,0,0,3,1,0,0,0,8,0,0,3,0,0,0,0,0,6,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22
6115,7,6,1,0,122.857,0,5,1,0,1,0,0,0,3,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
6129,15,10,4,1,126.667,0,7,3,0,2,2,1,0,5,0,0,0,1,0,3,0,7,0,0,0,0,1,1,1,1,0,0,0,1,0,0,2,0,3,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,11
6221,28,17,6,1,121.429,0,10,6,1,6,3,2,0,2,0,0,0,1,0,6,0,10,0,1,0,0,5,1,2,0,3,0,0,0,0,0,2,0,5,7,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44
6281,54,43,1,0,129.63,0,21,19,3,11,0,0,0,1,0,0,0,1,0,19,0,14,7,3,0,0,5,6,0,0,0,0,0,0,0,0,8,0,4,15,0,13,1,3,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
6466,25,17,2,0,129.6,0,7,6,4,7,0,1,0,1,0,0,0,3,0,6,0,6,1,4,0,0,2,5,1,0,0,0,0,0,0,0,1,0,1,3,0,1,0,5,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
6492,10,10,0,0,120,0,6,4,0,0,0,0,0,2,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
