CID,n,cs,ch,bl_2,ms,dg_co_1,dg_co_2,dg_co_3,dg_co_4,dg_nc_1,dg_nc_2,dg_nc_3,dg_nc_4,bd_co_2,bd_co_3,bd_in_2,bd_in_3,bd_ex_2,bd_ex_3,ns_co_C3,ns_co_O2,ns_co_C2,ns_co_N2,ns_co_C4,ns_co_N3,ns_nc_O1,ns_nc_C2,ns_nc_N1,ns_nc_C1,ns_nc_O2,ns_nc_C3,ns_nc_N2,ns_nc_N3,ns_nc_C4,ec_co_C3_O2_1,ec_co_C3_C3_1,ec_co_C2_O2_1,ec_co_C2_C3_1,ec_co_C2_C3_2,ec_co_C2_C2_1,ec_co_C2_C2_2,ec_co_C3_C3_2,ec_co_C3_N2_1,ec_co_C2_C4_1,ec_co_C3_C4_1,ec_co_C2_N2_1,ec_co_C3_N3_1,ec_co_C2_N2_2,ec_co_C3_N2_2,ec_co_C4_C4_1,ec_co_C4_N2_1,ec_co_N2_N2_2,ec_co_C4_O2_1,ec_co_C2_N3_1,ec_co_N2_N2_1,ec_co_N2_O2_1,ec_co_N2_N3_1,ec_co_N3_N3_1,ec_in_C3_O2_1,ec_in_C3_N2_1,ec_in_C2_C2_1,ec_in_C4_C2_1,ec_in_N2_C3_1,ec_in_N3_C2_1,ec_in_C2_O2_1,ec_in_O2_C3_1,ec_in_C3_C2_1,ec_in_C3_C3_1,ec_in_C2_C3_1,ec_in_C4_O2_1,ec_in_O2_C2_1,ec_in_C4_C3_1,ec_in_N3_C3_1,ec_in_C3_N3_1,ec_in_N2_C2_2,ec_in_C2_N2_1,ec_in_N2_C2_1,ec_in_C2_C2_2,ec_ex_C2_O1_1,ec_ex_C3_C2_1,ec_ex_C2_N1_3,ec_ex_C3_O1_1,ec_ex_C3_C1_1,ec_ex_C3_O1_2,ec_ex_C4_C1_1,ec_ex_O2_C1_1,ec_ex_C3_O2_1,ec_ex_C3_C3_1,ec_ex_C3_C1_2,ec_ex_C2_C1_1,ec_ex_C4_C2_1,ec_ex_O2_C2_1,ec_ex_N2_C3_1,ec_ex_N3_C1_1,ec_ex_C2_C2_1,ec_ex_C3_N1_1,ec_ex_C2_C1_2,ec_ex_C3_N3_1,ec_ex_N2_C2_1,ec_ex_N2_C4_1,ec_ex_N2_C1_1,ec_ex_C3_N2_1,ec_ex_C4_C3_1,ec_ex_C2_C3_2,ec_ex_N3_C2_1,ec_ex_C2_C3_1,ec_ex_O2_C3_1,ec_ex_C2_C1_3,ec_ex_C3_C4_1,ec_ex_C4_O1_1,ec_ex_C2_O2_1,ec_ex_C2_N3_1,ec_ex_C2_C2_2,ec_ex_C2_C4_1,ec_ex_C2_O1_2,ec_ex_N2_N1_1,ec_ex_C3_C2_2,nsH
1,32,22,2,0,134.375,0,10,12,0,8,2,0,0,3,0,0,0,0,1,12,4,6,0,0,0,7,2,1,0,0,0,0,0,0,7,9,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
2,15,13,1,0,126.667,0,9,4,0,2,0,0,0,5,0,0,0,1,0,4,1,7,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
4,22,22,0,0,120,0,14,8,0,0,0,0,0,11,0,0,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,4,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
8,20,17,1,0,124,0,9,7,1,3,0,0,0,3,0,0,0,0,0,7,0,9,0,1,0,2,0,0,1,0,0,0,0,0,0,4,0,6,3,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
10,29,21,2,0,128.276,0,9,12,0,5,2,1,0,6,0,0,0,2,0,12,3,6,0,0,0,1,0,0,4,2,1,0,0,0,5,7,1,5,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
11,6,5,1,0,130,0,4,1,0,1,0,0,0,0,0,0,0,1,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
14,16,12,2,0,127.5,0,8,3,1,3,1,0,0,3,0,0,0,2,0,3,0,6,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,1,2,2,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
18,8,6,2,0,122.5,0,5,1,0,1,1,0,0,3,0,0,0,0,1,1,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
22,17,15,1,0,127.059,0,9,6,0,2,0,0,0,1,0,0,0,2,0,5,0,8,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,4,0,6,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
24,13,6,3,2,127.692,0,4,2,0,3,3,1,0,3,0,0,0,1,0,2,0,4,0,0,0,1,1,0,2,1,1,1,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
27,13,9,1,0,132.308,0,3,6,0,4,0,0,0,2,0,0,0,2,0,4,0,1,2,0,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
28,15,6,4,1,130.667,0,2,3,1,5,4,0,0,0,0,0,0,3,0,3,0,0,2,1,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
31,10,6,2,0,120,0,4,2,0,2,2,0,0,3,0,0,0,0,0,2,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
33,22,15,4,1,129.091,0,10,5,0,4,2,1,0,6,0,0,0,2,0,5,1,8,1,0,0,2,0,0,2,1,1,1,0,0,2,0,0,4,4,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
35,14,13,1,0,120,0,8,5,0,1,0,0,0,6,0,0,0,0,0,5,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
37,13,13,0,0,121.538,0,11,2,0,0,0,0,0,6,0,0,0,0,0,2,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
43,12,9,1,0,133.333,0,5,3,1,3,0,0,0,0,0,0,0,3,0,3,0,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
44,11,6,2,0,123.636,0,3,3,0,4,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,3,0,1,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
50,12,10,1,0,121.667,0,6,4,0,2,0,0,0,5,0,0,0,0,0,4,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
