CID,n,rank,n_in,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_in_S2,na_in_S6,na_ex_C4,na_ex_Cl1,na_ex_F1,na_ex_N3,na_ex_O2,na_ex_S6,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_N3_2_2,C4_2_N3_3_1,C4_2_O2_2_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_N3_2_2,C4_3_N3_3_1,C4_3_O2_2_1,C4_3_S2_2_1,C4_3_S6_4_1,C4_4_C4_4_1,C4_4_N3_2_1,C4_4_O2_2_1,N3_2_N3_2_1,N3_2_N3_3_1,N3_2_O2_2_1,N3_2_S6_4_1,FC_1_C4_0_H1_1_/_1_/_0_0,FC_2_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_3_C4_0_/_/_0,FC_4_C4_0_O2_1_/_2_/_0_0,FC_5_O2_0_/_/_0,FC_6_N3_0_H1_1_/_1_/_0_0,FC_7_N3_0_/_/_0,FC_8_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_9_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_10_C4_0_O2_1_H1_2_/_1_1_/_0_0_0,FC_11_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_12_S2_0_/_/_0,FC_13_C4_0_S6_1_O2_2_O2_2_N3_2_H1_3_H1_3_/_1_2_2_1_1_1_/_0_0_0_0_0_0_0,FC_14_C4_0_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_2_1_1_/_0_0_0_0_0_0,FC_15_C4_0_H1_1_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_16_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_17_C4_0_H1_1_N3_1_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_18_S6_0_O2_1_O2_1_/_2_2_/_0_0_0,FC_19_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_20_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_21_C4_0_H1_1_H1_1_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_1_1_2_1_1_1_/_0_0_0_0_0_0_0_0,FC_22_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_23_N3_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_24_C4_0_O2_1_C4_1_H1_2_H1_2_N3_2_H1_3_H1_3_/_2_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_25_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_26_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_27_C4_0_O2_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_28_C4_0_H1_1_N3_1_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0,FC_29_C4_0_F1_1_/_1_/_0_0,FC_30_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0,FC_31_C4_0_Cl1_1_/_1_/_0_0,FC_32_N3_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_33_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_34_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_35_C4_0_H1_1_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_36_N3_0_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_37_C4_0_C4_1_H1_2_H1_2_O2_2_H1_3_C4_1_H1_2_H1_2_O2_2_H1_3_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_38_C4_0_O2_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_39_C4_0_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_40_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_41_C4_0_H1_1_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_1_2_1_1_1_/_0_0_0_0_0_0_0,FC_42_C4_0_O2_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_43_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_44_N3_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_45_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_46_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_47_C4_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0,FC_48_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_49_C4_0_H1_1_N3_1_H1_2_H1_2_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_50_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_51_C4_0_H1_1_H1_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_52_C4_0_H1_1_N3_1_H1_2_H1_2_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_53_C4_0_O2_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_54_N3_0_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_55_N3_0_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_56_C4_0_O2_1_H1_2_C4_1_C4_2_H1_3_/_1_1_1_3_1_/_0_0_0_0_0_0,LeafAC_C4_C4_1,LeafAC_C4_C4_2,LeafAC_C4_C4_3,LeafAC_C4_N3_1,LeafAC_C4_O2_1,LeafAC_Cl1_C4_1,LeafAC_F1_C4_1,LeafAC_N3_C4_1,LeafAC_N3_S6_1,LeafAC_O2_C4_1,LeafAC_O2_C4_2,LeafAC_O2_S6_2
5544,0.769231,0.8,0.809524,0.229817,0,0.466667,0.75,1,0.5,0.588235,0.875,0,0.285714,0,0.85,0,0,0,0,0.428571,0,1,0,1,0,0.166667,0.25,0.7,0.25,0.666667,0,0,0,0,0.166667,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.444444,0.25,0.333333,0,0,0,0.666667,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,1,0.666667,0
4736,0.5,0.6,0.666667,0.0283867,0,0.533333,0.625,0.25,0.5,0.529412,0.625,0,0.428571,0,0.65,0.333333,0,0,0,0.714286,0,0,0,0,0,0.333333,0.25,0.5,0.25,0.333333,0,0,1,0,0.166667,0.5,0.333333,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0.4,0.444444,0.5,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0
2949,0.653846,1,0.904762,0.117635,0,0.733333,0.625,0.75,0,0.705882,1,0,0.428571,0,0.85,0.333333,0.5,0,0,0.571429,0,0,0,0,0,0.5,0,0.7,0.25,1,0,1,0,0,0.333333,0.5,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,1,0,0.5,0.777778,0.75,0,0.5,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,0.25,0,0
3640,0.692308,0.8,0.809524,0.114927,0,0.533333,0.75,0.75,0.5,0.588235,0.875,0,0.142857,0,0.85,0,0,0,0,0.428571,0,0,0,0.8,0,0.5,0,0.6,0.25,1,0,0,0,0,0.5,0,0.666667,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.4,0.777778,0.25,0.333333,0,0,0,0.333333,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.75,0.666667,0
3003,0.769231,0.8,0.809524,0.18276,0,0.466667,0.75,1,0.5,0.588235,0.875,0,0.285714,0,0.85,0,0,0,0,0.571429,0,1,0,0.8,0,0.166667,0.25,0.7,0.25,0.666667,0,0,0,0,0.166667,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.444444,0.25,0.333333,0,0,0,0.333333,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,1,0,0,0.75,0.666667,0
3512,0.615385,0.6,0.619048,0.464982,0,0.266667,1,0.25,0,0.647059,0.25,1,0.571429,0,0.6,0,0.5,0,0,0.571429,1,0,0,0.8,0,0,0,0.4,0.5,0,0,0,0,0,0.5,1,0.5,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0.2,0.111111,0.75,0.666667,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,1,1,0,0,0,0,0.666667,0
3016,0.461538,0.6,0.761905,0.468771,0,0.666667,0.75,0,0,0.764706,0.5,0,1,0,0.7,0.666667,0,0,0,0.142857,1,0,0,0,0,0.333333,0.75,0.5,0.5,0,0.5,0,0,0,0.333333,0.5,0,0,0.5,0.666667,0,0,0,0,0,0,0,0,0,0,0.8,0.111111,1,0.333333,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0.333333,0
578771,1,0.8,1,0.154345,0,0.666667,0.875,1,1,0.764706,0.75,1,0.285714,0,1,0,0.5,0,0,0.857143,0,1,0,0.8,0,0.333333,0.25,0.8,0.25,0.666667,0,0,0,0,0.166667,0,1,0,0,0,0.5,0,0,1,0,1,0,0,0,0,0.5,0.555556,0.5,0.666667,0.5,0,0,0.333333,1,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.5,1,0
5172949,0.192308,0.2,0.380952,0.389617,0,0.466667,0.125,0,0.5,0.411765,0.125,0,0.428571,0,0.35,0,0.5,0,0,0.142857,0,0,0.5,0.2,0,0.333333,0.5,0.1,0.25,0,0,0,0,0.333333,0.166667,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0.333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.666667,0
14033071,0.461538,0.2,0.52381,0.309495,0,0.533333,0.25,0.25,0.5,0.588235,0.125,0,0.428571,0,0.45,0.333333,0.5,0,0,0.428571,0,0,0,0.8,0,0.333333,0.5,0.2,0.25,0,0,0,0,0.333333,0.166667,0,0,0.333333,0,0,0.5,0,0,0,1,0,0,0,0,0,0.5,0.111111,0.25,0.666667,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.666667,0
14033046,0.269231,0.2,0.428571,0.267474,0,0.466667,0.25,0,0.5,0.470588,0.125,0,0.428571,0,0.4,0,0.5,0,0,0.285714,0,0,0.5,0.2,0,0.333333,0.5,0.2,0.25,0,0,0,0,0.333333,0.166667,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.111111,0.25,0.333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.666667,0
14033041,0.423077,0.2,0.571429,0.234878,0,0.6,0.375,0,1,0.529412,0.25,0,0.428571,0,0.5,0.333333,0.5,0,0,0.571429,0,0,0,0.2,0,0.333333,0.5,0.2,0.25,0,0,0,1,0.333333,0.166667,0,0,0,0,0.333333,0.5,0,0,0,0,0,0,0,0,0,0.5,0.111111,0.25,0.666667,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.666667,0
14033068,0.230769,0.2,0.428571,0.321217,0,0.466667,0.25,0,0.5,0.470588,0.125,0,0.428571,0,0.4,0,0.5,0,0,0.142857,0,0,0.5,0.2,0,0.333333,0.5,0.2,0.25,0,0,0,0,0.333333,0.166667,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.111111,0.25,0.333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.666667,0
14033072,0.384615,0.2,0.52381,0.336413,0,0.533333,0.375,0,0.5,0.588235,0.125,0,0.428571,0,0.45,0.333333,0.5,0,0,0.285714,0,0,0.5,0.4,0,0.333333,0.5,0.2,0.25,0,0,0,0.5,0.333333,0.166667,0,0,0,0,0.333333,0.5,0,0,0,0,0,0,0,0,0,0.5,0.111111,0.25,0.666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,1,0
14033042,0.346154,0.2,0.52381,0.269674,0,0.533333,0.375,0,0.5,0.588235,0.125,0,0.428571,0,0.45,0.333333,0.5,0,0,0.285714,0,0,0,0.4,0,0.333333,0.5,0.2,0.25,0,0,0,0.5,0.333333,0.166667,0,0,0,0,0.333333,0.5,0,0,0,0,0,0,0,0,0,0.5,0.111111,0.25,0.666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.25,0.666667,0
