CID,FC_1_C4_0_H1_1_/_1_/_0_0,na_ex_C4,C4_2_C4_2_1,C4_4_N3_2_1,LeafAC_O2_S6_2
1548887,0.5,0.6,0.142857,0,0.0
1302,0.333333,0.6,0.0,0,0.0
1775,0.666667,0.0,0.571429,1,0.0
2247,0.916667,0.2,1.0,0,0.0
2727,0.166667,0.4,0.142857,0,0.5
2733526,1.0,0.8,0.857143,0,0.0
135398737,0.416667,0.2,0.571429,0,0.0
3016,0.5,0.2,0.285714,0,0.0
3019,0.0833333,0.2,0.0,0,0.5
3335,0.583333,0.2,0.571429,0,0.0
3475,0.333333,0.2,0.428571,0,0.5
3488,0.5,0.2,0.857143,0,0.5
3639,0.0,0.0,0.0,0,1.0
3672,0.166667,1.0,0.142857,0,0.0
3715,0.416667,0.6,0.142857,0,0.0
3718,0.5,0.4,0.428571,0,0.0
3825,0.583333,0.4,0.428571,0,0.0
3512,0.0,0.8,0.0,0,0.0
448537,0.5,0.8,0.285714,0,0.0
4748,0.416667,0.2,0.857143,0,0.0
4754,0.166667,0.8,0.142857,0,0.0
4911,0.166667,1.0,0.142857,0,0.5
54676228,0.5,0.2,0.571429,0,0.5
4196,0.5,1.0,0.571429,0,0.0
5578,0.0833333,0.6,0.0,0,0.0
5408,0.166667,0.4,0.571429,0,0.0
