CID,na_in_C4,na_ex_Cl1,na_ex_O2,na_ex_C4,ms,C4_2_N3_3_1,C4_2_C4_2_1,FC_3_C4_0_/_/_0,LeafAC_C4_N3_1,C4_2_N3_2_1,FC_10_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_2_O2_2_1,na_ex_S2,FC_54_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_5_N3_0_/_/_0,FC_4_C4_0_Cl1_1_/_1_/_0_0,dg_in_2,FC_1_C4_0_H1_1_/_1_/_0_0,LeafAC_O2_N3_1,C4_2_C4_4_1,LeafAC_O2_S4_2,FC_22_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_80_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_Br1_2_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,na_ex_F1,FC_91_P5_0_O2_1_C4_2_H1_3_H1_3_H1_3_O2_1_C4_2_H1_3_H1_3_H1_3_S2_1_/_1_1_1_1_1_1_1_1_1_1_2_/_0_0_0_0_0_0_0_0_0_0_0_0,C4_3_O2_2_1,N3_2_N3_3_1,FC_37_C4_0_O2_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,dg_in_4,N3_3_N3_3_1,FC_50_C4_0_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_65_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,LeafAC_C4_C4_2,na_ex_Br1,FC_24_C4_0_Br1_1_/_1_/_0_0,FC_32_C4_0_H1_1_Cl1_1_/_1_1_/_0_0_0,FC_81_C4_0_Cl1_1_Cl1_1_/_1_1_/_0_0_0,FC_30_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,LeafAC_C4_S2_1,FC_68_C4_0_H1_1_H1_1_C4_1_C4_2_H1_3_/_1_1_1_3_1_/_0_0_0_0_0_0,LeafAC_O2_C4_2,FC_103_C4_0_H1_1_H1_1_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_1_1_2_1_1_1_/_0_0_0_0_0_0_0_0,na_ex_N3,FC_41_O2_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0,FC_11_C4_0_O2_1_H1_2_/_1_1_/_0_0_0,FC_36_C4_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0,FC_26_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_86_C4_0_H1_1_H1_1_C4_1_O2_2_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_75_C4_0_O2_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_2_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_104_C4_0_O2_1_H1_2_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_109_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,C4_2_C4_3_2,N3_2_N3_2_2,FC_194_C4_0_O2_1_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_199_C4_0_N3_1_H1_2_O2_2_H1_3_/_1_1_1_1_/_0_0_0_0_0,LeafAC_F1_C4_1,FC_111_C4_0_O2_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_150_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_42_C4_0_H1_1_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0_0,LeafAC_Cl1_C4_1
31268,0.173913,0.0,0.0,0.0,0.0375784,0.0,0.214286,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,0.0,0.227273,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
31374,0.0,0.0,0.111111,0.444444,0.0703225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.25,0,0.25,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
9259,0.173913,0.0,0.0,0.0,0.169197,0.0,0.142857,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.272727,0.25,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
9260,0.173913,0.0,0.0,0.0,0.169197,0.0,0.0714286,0.0,0.0,0.5,0.0,0.0,0.0,0,0.5,0.0,0.272727,0.25,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
453,0.173913,0.0,0.666667,0.222222,0.124254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0909091,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
10932,0.0434783,0.0,0.222222,0.333333,0.0989737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.25,0,0.25,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
4837,0.173913,0.0,0.0,0.0,0.0512218,0.0,0.142857,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.272727,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
8082,0.217391,0.0,0.0,0.0,0.0343682,0.0,0.285714,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,0.0,0.272727,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
12290,0.217391,0.0,0.111111,0.0,0.165452,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,0.0,0.272727,0.25,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.25,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
743,0.130435,0.0,0.444444,0.222222,0.158622,0.0,0.142857,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0454545,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
7972,0.173913,0.0,0.0,0.111111,0.0618333,0.285714,0.142857,0.0,0.25,0.0,0.0,1.0,0.0,0,0.0,0.0,0.272727,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
12755,0.217391,0.0,0.111111,0.111111,0.136239,0.142857,0.0714286,0.0,0.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.272727,0.25,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.25,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
