FID,(atom depth)-seq,Multiplicity seq, Charge seq
42, N3 0 H1 1 C4 1 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
43, C4 0 C4 1 H1 2 H1 2 H1 2 C4 1 H1 2 H1 2 H1 2 C4 1 H1 2 H1 2 O2 2 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0
44, C4 0 H1 1 O2 1 H1 2 C4 1 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
45, C4 0 H1 1 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 O2 2 N3 2 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 2 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0
46, C4 0 H1 1 C4 1 H1 2 H1 2 H1 2 C4 1 O2 2 N3 2 H1 3 H1 3, 1 1 1 1 1 1 2 1 1 1, 0 0 0 0 0 0 0 0 0 0 0
47, C4 0 O2 1 C4 1 N3 2 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 2 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0
48, C4 0 H1 1 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
49, C4 0 H1 1 H1 1 C4 1 F1 2 F1 2 F1 2, 1 1 1 1 1 1, 0 0 0 0 0 0 0
50, C4 0 H1 1 H1 1 O2 1 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
51, O2 0 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
52, C4 0 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
53, C4 0 N3 1 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1, 0 0 0 0 0 0 0
54, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0
55, C4 0 C4 1 H1 2 H1 2 H1 2 C4 1 H1 2 H1 2 H1 2 C4 1 F1 2 F1 2 F1 2, 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0
56, C4 0 C4 1 H1 2 O2 2 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0
57, N3 0 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0
58, N3 0 H1 1 C4 1 H1 2 O2 2, 1 1 1 2, 0 0 0 0 0
59, O2 0 C4 1 O2 2 N3 2 H1 3 H1 3, 1 2 1 1 1, 0 0 0 0 0 0
60, C4 0 S6 1 O2 2 O2 2 C4 2 H1 3 H1 3 H1 3, 1 2 2 1 1 1 1, 0 0 0 0 0 0 0 0
61, C4 0 H1 1 C4 1 O2 2 N3 2 H1 3 H1 3, 1 1 2 1 1 1, 0 0 0 0 0 0 0
62, S6 0 O2 1 O2 1 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 2 2 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0
63, C4 0 C4 1 O2 2 O2 2 H1 3, 1 2 1 1, 0 0 0 0 0
64, O2 0 P5 1 O2 2 O2 2 O2 2 H1 3, 1 1 2 1 1, 0 0 -1 0 0 0
65, N3 0 H1 1 O2 1 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1, 0 0 0 0 0 0 0
66, B3 0 O2 1 H1 2, 1 1, 0 0 0
67, C4 0 S2 1, 2, 0 0
68, C4 0 H1 1 C4 1 H1 2 C4 2 H1 3 H1 3, 1 1 1 2 1 1, 0 0 0 0 0 0 0
69, N3 0 H1 1 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0
70, C4 0 C4 1 C4 2 H1 3 H1 3 H1 3, 3 1 1 1 1, 0 0 0 0 0 0
71, N3 0 C4 1 H1 2 H1 2 H1 2, 1 1 1 1, 1 0 0 0 0
72, C4 0 N3 1 H1 2 H1 2 C4 1 H1 2 H1 2 H1 2, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
73, N3 0 C4 1 O2 2 N3 2 H1 3 H1 3, 1 2 1 1 1, 0 0 0 0 0 0
74, P5 0 O2 1, 2, 0 0
75, O2 0 C4 1 F1 2 F1 2 F1 2, 1 1 1 1, 0 0 0 0 0
76, C4 0 O2 1 C4 1 H1 2 C4 2 H1 3 H1 3, 2 1 1 2 1 1, 0 0 0 0 0 0 0
77, C4 0 H1 1 H1 1 C4 1 H1 2 O2 2 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0
78, C4 0 H1 1 C4 1 H1 2 O2 2 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0
