CID,na_in_C4,na_ex_Cl1,LeafAC_O2_C4_1,LeafAC_C4_C4_1,LeafAC_O2_C4_2,ms,FC_10_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_2_N3_2_1,C4_2_N3_3_1,FC_3_C4_0_/_/_0,C4_2_C4_2_1,na_ex_S2,C4_2_O2_2_1,LeafAC_C4_C4_2,LeafAC_O2_N3_2,LeafAC_C4_Si4_1,n_in,LeafAC_F1_C4_1,LeafAC_Br1_C4_1,FC_20_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,na_ex_I1,na_in_S2,C4_4_C4_4_1,C4_3_N3_3_1,LeafAC_C4_C4_3,dg_in_4,FC_1_C4_0_H1_1_/_1_/_0_0,dg_2,FC_58_C4_0_H1_1_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_2_C4_0_H1_1_H1_1_/_1_1_/_0_0_0
7001,0.277778,0.0,0.0,0.0,0.0,0.138926,0.0,0.0,0.0,0.166667,0.0967742,0.0,0.0,0.0,0.0,0.0,0.232558,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304348,0.21875,0,0.0
7001,0.277778,0.0,0.0,0.0,0.0,0.138926,0.0,0.0,0.0,0.166667,0.0967742,0.0,0.0,0.0,0.0,0.0,0.232558,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304348,0.21875,0,0.0
7001,0.277778,0.0,0.0,0.0,0.0,0.138926,0.0,0.0,0.0,0.166667,0.0967742,0.0,0.0,0.0,0.0,0.0,0.232558,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304348,0.21875,0,0.0
7001,0.277778,0.0,0.0,0.0,0.0,0.138926,0.0,0.0,0.0,0.166667,0.0967742,0.0,0.0,0.0,0.0,0.0,0.232558,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304348,0.21875,0,0.0
7001,0.277778,0.0,0.0,0.0,0.0,0.138926,0.0,0.0,0.0,0.166667,0.0967742,0.0,0.0,0.0,0.0,0.0,0.232558,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304348,0.21875,0,0.0
7001,0.277778,0.0,0.0,0.0,0.0,0.138926,0.0,0.0,0.0,0.166667,0.0967742,0.0,0.0,0.0,0.0,0.0,0.232558,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304348,0.21875,0,0.0
7001,0.277778,0.0,0.0,0.0,0.0,0.138926,0.0,0.0,0.0,0.166667,0.0967742,0.0,0.0,0.0,0.0,0.0,0.232558,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304348,0.21875,0,0.0
7001,0.277778,0.0,0.0,0.0,0.0,0.138926,0.0,0.0,0.0,0.166667,0.0967742,0.0,0.0,0.0,0.0,0.0,0.232558,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304348,0.21875,0,0.0
7001,0.277778,0.0,0.0,0.0,0.0,0.138926,0.0,0.0,0.0,0.166667,0.0967742,0.0,0.0,0.0,0.0,0.0,0.232558,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304348,0.21875,0,0.0
7001,0.277778,0.0,0.0,0.0,0.0,0.138926,0.0,0.0,0.0,0.166667,0.0967742,0.0,0.0,0.0,0.0,0.0,0.232558,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304348,0.21875,0,0.0
7001,0.277778,0.0,0.0,0.0,0.0,0.138926,0.0,0.0,0.0,0.166667,0.0967742,0.0,0.0,0.0,0.0,0.0,0.232558,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304348,0.21875,0,0.0
7001,0.277778,0.0,0.0,0.0,0.0,0.138926,0.0,0.0,0.0,0.166667,0.0967742,0.0,0.0,0.0,0.0,0.0,0.232558,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304348,0.21875,0,0.0
7001,0.277778,0.0,0.0,0.0,0.0,0.138926,0.0,0.0,0.0,0.166667,0.0967742,0.0,0.0,0.0,0.0,0.0,0.232558,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304348,0.21875,0,0.0
7001,0.277778,0.0,0.0,0.0,0.0,0.138926,0.0,0.0,0.0,0.166667,0.0967742,0.0,0.0,0.0,0.0,0.0,0.232558,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304348,0.21875,0,0.0
7001,0.277778,0.0,0.0,0.0,0.0,0.138926,0.0,0.0,0.0,0.166667,0.0967742,0.0,0.0,0.0,0.0,0.0,0.232558,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304348,0.21875,0,0.0
7001,0.277778,0.0,0.0,0.0,0.0,0.138926,0.0,0.0,0.0,0.166667,0.0967742,0.0,0.0,0.0,0.0,0.0,0.232558,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304348,0.21875,0,0.0
6905,0.166667,0.0,0.0,0.0,0.0,0.790049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139535,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
11414,0.166667,0.0,0.0,0.0,0.0,0.293046,0.0,0.0,0.0,0.0,0.0645161,0.0,0.0,0.0,0.0,0.0,0.139535,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173913,0.125,0,0.0
11414,0.166667,0.0,0.0,0.0,0.0,0.293046,0.0,0.0,0.0,0.0,0.0645161,0.0,0.0,0.0,0.0,0.0,0.139535,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173913,0.125,0,0.0
11414,0.166667,0.0,0.0,0.0,0.0,0.293046,0.0,0.0,0.0,0.0,0.0645161,0.0,0.0,0.0,0.0,0.0,0.139535,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173913,0.125,0,0.0
11414,0.166667,0.0,0.0,0.0,0.0,0.293046,0.0,0.0,0.0,0.0,0.0645161,0.0,0.0,0.0,0.0,0.0,0.139535,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173913,0.125,0,0.0
11414,0.166667,0.0,0.0,0.0,0.0,0.293046,0.0,0.0,0.0,0.0,0.0645161,0.0,0.0,0.0,0.0,0.0,0.139535,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173913,0.125,0,0.0
11414,0.166667,0.0,0.0,0.0,0.0,0.293046,0.0,0.0,0.0,0.0,0.0645161,0.0,0.0,0.0,0.0,0.0,0.139535,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173913,0.125,0,0.0
11414,0.166667,0.0,0.0,0.0,0.0,0.293046,0.0,0.0,0.0,0.0,0.0645161,0.0,0.0,0.0,0.0,0.0,0.139535,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173913,0.125,0,0.0
11414,0.166667,0.0,0.0,0.0,0.0,0.293046,0.0,0.0,0.0,0.0,0.0645161,0.0,0.0,0.0,0.0,0.0,0.139535,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173913,0.125,0,0.0
11414,0.166667,0.0,0.0,0.0,0.0,0.293046,0.0,0.0,0.0,0.0,0.0645161,0.0,0.0,0.0,0.0,0.0,0.139535,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173913,0.125,0,0.0
