CID,na_in_C4,bd_in_2,na_ex_Cl1,ms,C4_3_C4_3_1
1986,0.0,0.142857,0.0,0.443586,0.0
2244,0.129032,0.214286,0.0,0.226953,0.0625
30951,0.193548,0.214286,0.25,0.236436,0.0
2132,0.354839,0.214286,0.0,0.360784,0.0625
60795,0.677419,0.428571,0.5,0.177173,0.0625
74989,0.645161,0.5,0.25,0.197083,0.4375
2256,0.0322581,0.214286,0.25,0.16581,0.0
2284,0.193548,0.214286,0.25,0.201639,0.0625
2479,0.0967742,0.0,0.0,0.106366,0.0
2343,0.419355,0.5,0.25,0.381006,0.0625
2441,0.387097,0.5,0.0,0.388529,0.125
2540,0.903226,0.857143,0.0,0.167804,0.3125
2554,0.387097,0.5,0.0,0.177906,0.125
6854,0.322581,0.428571,0.0,0.158715,0.1875
25429,0.193548,0.285714,0.0,0.208366,0.0625
5361486,0.354839,0.428571,0.0,0.341685,0.25
5281006,0.419355,0.285714,0.0,0.218956,0.25
2662,0.419355,0.571429,0.0,0.293317,0.0625
38103,0.387097,0.214286,0.0,0.195277,0.25
2727,0.193548,0.214286,0.25,0.271626,0.0
222528,0.580645,0.0,0.0,0.031621,0.1875
2754,0.580645,0.357143,0.0,0.105992,0.0
2756,0.16129,0.142857,0.0,0.161878,0.0
2764,0.451613,0.285714,0.0,0.1789,0.1875
2769,0.612903,0.428571,0.25,0.161401,0.1875
5753,0.516129,0.0714286,0.0,0.0682418,0.25
5745,0.548387,0.0714286,0.0,0.104615,0.1875
5280754,0.903226,0.0,0.0,0.056873,0.75
5281708,0.419355,0.5,0.0,0.239981,0.1875
2995,0.483871,0.428571,0.0,0.0711943,0.125
5743,0.516129,0.142857,0.0,0.109044,0.0625
3019,0.16129,0.285714,0.25,0.39398,0.0
3033,0.354839,0.428571,0.5,0.316631,0.125
71414,0.548387,0.142857,0.0,0.143559,0.125
56206,0.548387,0.5,0.0,0.208933,0.1875
39186,0.483871,0.428571,0.0,0.154286,0.25
11487,0.322581,0.428571,0.0,0.12049,0.0
6047,0.193548,0.214286,0.0,0.178834,0.0
5388962,0.451613,0.214286,0.0,0.106202,0.125
68570,0.483871,0.214286,0.0,0.0606497,0.1875
5870,0.483871,0.214286,0.0,0.0778223,0.1875
3295,0.16129,0.285714,0.0,0.32102,0.0
6419930,0.774194,0.428571,0.0,0.183423,0.8125
2758,0.16129,0.0,0.0,0.0,0.0
3335,0.419355,0.428571,0.0,0.166096,0.125
3374,0.322581,0.285714,0.0,0.21637,0.1875
3394,0.354839,0.428571,0.0,0.178205,0.125
135398658,0.483871,0.5,0.0,0.232217,0.1875
135398740,0.16129,0.214286,0.0,0.2029,0.0625
3478,0.580645,0.428571,0.0,0.164387,0.0625
441140,0.354839,0.285714,0.25,0.228602,0.1875
3559,0.612903,0.428571,0.25,0.163608,0.0625
24821094,0.677419,0.714286,0.0,0.16765,0.1875
5362440,0.967742,0.642857,0.0,0.0941403,0.3125
3715,0.451613,0.5,0.25,0.237089,0.125
3718,0.419355,0.428571,0.0,0.173653,0.1875
456201,0.709677,0.571429,0.5,0.207628,0.0
4011,0.548387,0.428571,0.0,0.0685582,0.25
4170,0.387097,0.428571,0.25,0.266175,0.1875
4409,0.322581,0.357143,0.0,0.111264,0.0
1302,0.290323,0.357143,0.0,0.146775,0.0625
64143,0.806452,0.428571,0.0,0.0946654,0.3125
4463,0.387097,0.428571,0.0,0.174904,0.125
4485,0.354839,0.357143,0.0,0.190422,0.375
4495,0.322581,0.428571,0.0,0.279978,0.0
4539,0.354839,0.285714,0.0,0.171908,0.1875
4543,0.516129,0.5,0.0,0.0768524,0.25
275196,0.516129,0.428571,0.0,0.172741,0.4375
4583,0.419355,0.285714,0.0,0.176595,0.25
4616,0.419355,0.5,0.25,0.273392,0.1875
4641,0.483871,0.428571,0.0,0.142898,0.125
4680,0.451613,0.571429,0.0,0.14331,0.125
4748,0.580645,0.428571,0.25,0.160135,0.0625
4754,0.129032,0.214286,0.0,0.10956,0.0
4756,0.290323,0.5,0.0,0.179452,0.0
4828,0.290323,0.285714,0.0,0.0846248,0.0625
4889,0.516129,0.142857,0.0,0.0775211,0.3125
4159,0.516129,0.142857,0.0,0.0870667,0.25
4909,0.258065,0.214286,0.0,0.136149,0.0
4911,0.193548,0.214286,0.0,0.152388,0.0
4926,0.419355,0.428571,0.0,0.12455,0.125
4927,0.387097,0.428571,0.0,0.12455,0.125
65981,0.612903,0.428571,0.0,0.0863235,0.125
445154,0.387097,0.5,0.0,0.177586,0.0
392622,0.903226,0.714286,0.0,0.141736,0.125
5090,0.451613,0.5,0.0,0.237448,0.1875
5833,0.580645,0.0714286,0.0,0.105041,0.1875
441071,0.612903,0.285714,0.0,0.124994,0.3125
5339,0.483871,0.714286,0.0,0.28992,0.0
5340,0.225806,0.357143,0.0,0.340293,0.0
5343,0.258065,0.428571,0.0,0.21671,0.0
5344,0.225806,0.357143,0.0,0.22984,0.0625
1548887,0.483871,0.571429,0.0,0.220325,0.1875
5411,0.290323,0.214286,0.0,0.057707,0.0625
54675776,0.516129,0.357143,0.0,0.182214,0.4375
5370664,0.16129,0.285714,0.0,0.217011,0.0
31307,0.516129,0.142857,0.0,0.128979,0.0625
5546,0.322581,0.571429,0.0,0.217343,0.1875
54678486,0.483871,0.5,0.0,0.180047,0.3125
1188,0.0967742,0.142857,0.0,0.335653,0.0625
2130,0.258065,0.0,0.0,0.0057424,0.0
2157,0.548387,0.5,0.0,0.378338,0.3125
2165,0.451613,0.571429,0.25,0.156682,0.0625
2405,0.322581,0.214286,0.0,0.0492849,0.0
31101,0.741935,0.357143,0.0,0.178716,0.375
40473187,0.677419,0.214286,0.0,0.0637709,0.0625
667467,0.451613,0.5,0.25,0.193252,0.1875
