CID,na_in_C4,FC_12_C4_0_Cl1_1_/_1_/_0_0,FC_27_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_37_C4_0_H1_1_N3_1_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_31_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_26_C4_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0,LeafAC_C4_N3_1,C4_3_C4_3_2,FC_38_C4_0_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_2_1_1_/_0_0_0_0_0_0,C4_2_O2_2_1,na_ex_O2,C4_2_N3_3_1,FC_24_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,N3_3_N3_3_1,C4_3_O2_2_1
1986,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.5,0.0,0,0,0.0
190,0.115385,0.0,0,0,0,0,0.0,0.333333,0,0.0,0.0,0.0,0,0,0.0
191,0.269231,0.0,1,0,0,0,0.0,0.333333,0,0.0,0.5,0.142857,0,0,0.666667
135401907,0.115385,0.0,0,0,0,0,0.0,0.333333,0,0.0,0.166667,0.0,0,0,0.0
978,0.153846,0.0,0,0,0,0,0.0,0.0,0,0.0,0.333333,0.0,0,0,0.0
6009,0.269231,0.0,0,0,0,0,1.0,0.333333,0,0.0,0.166667,0.0,0,1,0.0
4075,0.153846,0.0,0,0,0,0,0.0,0.333333,0,0.0,0.5,0.0,0,0,0.0
4649,0.153846,0.0,0,0,0,0,0.0,0.333333,0,0.0,0.5,0.0,0,0,0.0
2174,0.423077,0.0,0,1,0,0,0.0,0.0,1,0.0,0.666667,0.0,0,0,0.0
2244,0.153846,0.0,0,0,0,0,0.0,0.0,0,0.0,0.5,0.0,0,0,0.333333
3661,0.5,0.0,1,0,0,0,0.333333,0.0,0,0.0,0.333333,0.0,0,0,0.666667
3661,0.5,0.0,1,0,0,0,0.333333,0.0,0,0.0,0.333333,0.0,0,0,0.666667
3661,0.5,0.0,1,0,0,0,0.333333,0.0,0,0.0,0.333333,0.0,0,0,0.666667
3661,0.5,0.0,1,0,0,0,0.333333,0.0,0,0.0,0.333333,0.0,0,0,0.666667
2284,0.230769,0.333333,0,0,0,0,0.0,0.0,0,0.0,0.333333,0.0,0,0,0.0
2331,0.153846,0.0,0,0,0,1,0.0,0.0,0,0.0,0.166667,0.0,0,0,0.0
2337,0.192308,0.0,0,0,0,0,0.0,0.0,0,0.0,0.166667,0.0,0,0,0.333333
243,0.153846,0.0,0,0,0,0,0.0,0.0,0,0.0,0.333333,0.0,0,0,0.0
7095,0.384615,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
2471,0.461538,0.0,0,0,0,0,0.0,0.333333,0,0.0,0.666667,0.0,1,0,0.666667
2482,0.269231,0.0,0,0,0,0,0.0,0.0,0,0.5,0.166667,0.0,1,0,0.333333
7184,0.269231,0.0,0,0,0,0,0.0,0.0,0,0.5,0.333333,0.0,1,0,0.333333
2519,0.115385,0.0,0,0,0,0,1.0,0.333333,0,0.0,0.333333,0.142857,0,0,0.0
2537,0.192308,0.0,0,0,0,0,0.0,0.0,0,0.0,0.166667,0.0,0,0,0.0
2554,0.461538,0.0,0,0,0,0,0.0,0.0,0,0.0,0.166667,0.0,0,0,0.0
2673,0.461538,0.0,0,1,0,0,0.0,0.333333,0,0.0,0.666667,0.0,0,0,0.0
2732,0.461538,0.333333,0,0,0,0,0.0,0.333333,0,0.0,0.666667,0.0,0,0,0.0
2733,0.192308,0.333333,0,0,0,0,0.0,0.333333,0,0.0,0.166667,0.0,0,0,0.666667
2756,0.192308,0.0,0,0,0,0,0.333333,0.333333,0,0.0,0.0,0.0,0,0,0.0
2794,0.846154,0.666667,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
439739,0.615385,0.0,0,0,0,0,0.0,0.0,0,0.0,0.666667,0.0,0,0,0.0
521440,0.615385,0.0,0,0,0,0,0.0,0.0,0,0.0,0.833333,0.0,0,0,0.0
597,0.0769231,0.0,0,0,0,0,0.0,0.0,0,0.0,0.166667,0.0,0,0,0.0
2955,0.384615,0.0,0,0,0,0,0.0,0.0,0,0.0,0.333333,0.0,0,0,0.0
223578,0.615385,0.0,0,0,0,0,0.0,0.0,0,0.0,0.5,0.0,0,0,0.0
3003,0.615385,0.0,0,0,0,0,0.0,0.0,0,0.0,0.833333,0.0,0,0,0.0
2140,0.153846,0.0,0,0,0,0,0.0,1.0,0,0.0,0.666667,0.0,0,0,0.0
3059,0.384615,0.0,0,0,0,0,0.0,0.666667,0,0.0,0.5,0.0,0,0,0.0
234096,0.807692,0.0,0,0,0,0,0.0,0.0,0,0.5,0.166667,0.0,0,0,0.333333
1775,0.5,0.0,0,0,0,0,0.0,0.0,0,0.0,0.333333,0.0,0,0,0.0
3114,0.461538,0.0,0,0,0,1,0.0,0.0,0,0.0,0.166667,0.142857,0,0,0.0
3120,0.192308,0.666667,0,0,0,0,0.666667,0.333333,0,0.0,0.166667,0.0,0,0,0.0
