CID,n,M,C,O,H,C1O,C2O,C1C,C2C,#degree1,#degree2,#degree3,#degree4,#degree5,#degree6,#double_bond,#triple_bond,Diameter,bc_121,bc_122,bc_123,bc_131,bc_132,bc_141,bc_221,bc_222,bc_223,bc_231,bc_232,bc_241,bc_331,bc_332,bc_341,bc_441,2-branch_height,2-branch_number
7778,13,126.154,11,2,20,2,1,8,1,4,7,2,0,0,0,2,0,0.769231,0,1,0,3,0,0,5,0,0,2,1,0,0,0,0,0,1,2
86749,11,123.636,10,1,20,1,0,8,1,5,4,1,1,0,0,1,0,0.636364,1,0,0,2,0,2,2,0,0,0,1,2,0,0,0,0,1,2
5282109,13,126.154,11,2,18,2,1,7,2,4,7,2,0,0,0,3,0,0.769231,0,1,0,3,0,0,5,0,0,1,2,0,0,0,0,0,1,2
5319723,11,123.636,10,1,16,1,0,6,3,4,5,2,0,0,0,3,0,0.727273,1,1,0,1,1,0,2,0,0,3,1,0,0,0,0,0,1,2
5352162,16,125,14,2,24,2,1,10,2,5,8,3,0,0,0,3,0,0.75,1,0,0,3,1,0,5,0,0,3,2,0,0,0,0,0,1,2
62321,16,125,14,2,24,2,1,10,2,6,7,2,1,0,0,3,0,0.625,1,1,0,2,1,1,3,0,0,2,1,3,0,0,0,0,1,2
60985,16,125,14,2,26,2,1,11,1,6,6,4,0,0,0,2,0,0.6875,0,0,0,5,1,0,4,0,0,3,1,0,1,0,0,0,1,2
5354882,13,126.154,11,2,18,2,1,7,2,4,7,2,0,0,0,3,0,0.769231,0,1,0,3,0,0,5,0,0,1,2,0,0,0,0,0,1,2
6086514,16,125,14,2,24,2,1,10,2,6,6,4,0,0,0,3,0,0.6875,0,0,0,5,1,0,4,0,0,2,2,0,1,0,0,0,1,2
8294,14,125.714,12,2,20,2,1,8,2,6,5,2,1,0,0,3,0,0.571429,0,1,0,3,1,1,2,0,0,1,1,3,0,0,0,0,1,2
10975,11,123.636,10,1,18,1,0,7,2,5,4,1,1,0,0,2,0,0.636364,0,1,0,0,1,3,2,0,0,2,0,1,0,0,0,0,1,2
1549025,14,125.714,12,2,20,2,1,8,2,5,6,3,0,0,0,3,0,0.714286,0,0,0,4,1,0,4,0,0,2,2,0,0,0,0,0,1,2
22764431,11,123.636,10,1,20,1,0,8,1,4,5,2,0,0,0,1,0,0.727273,1,0,0,2,1,0,3,0,0,3,0,0,0,0,0,0,1,2
6549,11,123.636,10,1,18,1,0,7,2,5,4,1,1,0,0,2,0,0.636364,0,1,0,2,0,2,2,0,0,0,1,2,0,0,0,0,1,2
13547825,11,123.636,10,1,18,1,0,7,2,5,4,1,1,0,0,2,0,0.636364,0,1,0,1,0,3,2,0,0,1,1,1,0,0,0,0,1,2
89385,14,125.714,12,2,24,2,1,10,0,6,5,2,1,0,0,1,0,0.571429,1,0,0,3,1,1,2,0,0,2,0,3,0,0,0,0,1,2
8842,11,123.636,10,1,20,1,0,8,1,4,5,2,0,0,0,1,0,0.727273,1,0,0,3,0,0,3,0,0,2,1,0,0,0,0,0,1,2
9017,14,125.714,12,2,22,2,1,9,1,5,6,3,0,0,0,2,0,0.714286,0,0,0,4,1,0,4,0,0,3,1,0,0,0,0,0,1,2
30249,14,125.714,12,2,24,2,1,10,0,5,6,3,0,0,0,1,0,0.714286,0,0,0,4,1,0,4,0,0,4,0,0,0,0,0,0,1,2
86748,11,123.636,10,1,20,1,0,8,1,5,4,1,1,0,0,1,0,0.636364,0,1,0,2,0,2,2,0,0,1,0,2,0,0,0,0,1,2
5464156,11,123.636,10,1,18,1,0,7,2,5,3,3,0,0,0,2,0,0.545455,1,0,0,3,1,0,1,0,0,2,1,0,1,0,0,0,1,2
5365982,15,125.333,13,2,22,2,1,9,2,5,7,3,0,0,0,3,0,0.733333,1,0,0,3,1,0,4,0,0,3,2,0,0,0,0,0,1,2
643820,11,123.636,10,1,18,1,0,7,2,4,5,2,0,0,0,2,0,0.727273,1,0,0,3,0,0,3,0,0,1,2,0,0,0,0,0,1,2
8835,16,125,14,2,26,2,1,11,1,5,8,3,0,0,0,2,0,0.75,1,0,0,3,1,0,5,0,0,4,1,0,0,0,0,0,1,2
5355856,16,125,14,2,24,2,1,10,2,5,8,3,0,0,0,3,0,0.75,1,0,0,3,1,0,5,0,0,3,2,0,0,0,0,0,1,2
7792,11,123.636,10,1,22,1,0,9,0,4,5,2,0,0,0,0,0,0.727273,1,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,1,2
86751,11,123.636,10,1,22,1,0,9,0,5,4,1,1,0,0,0,0,0.636364,1,0,0,1,0,3,2,0,0,2,0,1,0,0,0,0,1,2
61098,15,125.333,13,2,22,2,1,9,2,6,6,2,1,0,0,3,0,0.6,1,1,0,2,1,1,2,0,0,2,1,3,0,0,0,0,1,2
6548,11,123.636,10,1,22,1,0,9,0,5,4,1,1,0,0,0,0,0.636364,1,0,0,2,0,2,2,0,0,1,0,2,0,0,0,0,1,2
543323,11,123.636,10,1,20,1,0,8,1,4,5,2,0,0,0,1,0,0.727273,1,0,0,2,1,0,3,0,0,3,0,0,0,0,0,0,1,2
8834,15,125.333,13,2,24,2,1,10,1,5,7,3,0,0,0,2,0,0.733333,1,0,0,3,1,0,4,0,0,4,1,0,0,0,0,0,1,2
637566,11,123.636,10,1,18,1,0,7,2,4,5,2,0,0,0,2,0,0.727273,1,0,0,3,0,0,3,0,0,1,2,0,0,0,0,0,1,2
5355853,15,125.333,13,2,22,2,1,9,2,5,7,3,0,0,0,3,0,0.733333,1,0,0,3,1,0,4,0,0,3,2,0,0,0,0,0,1,2
30247,14,125.714,12,2,20,2,1,8,2,6,4,4,0,0,0,3,0,0.571429,0,0,0,4,2,0,2,0,0,3,1,0,1,0,0,0,1,2
6532,16,125,14,2,24,2,1,10,2,7,5,3,1,0,0,3,0,0.5625,0,1,0,4,1,1,2,0,0,1,1,3,1,0,0,0,1,2
96291,11,123.636,10,1,22,1,0,9,0,5,3,3,0,0,0,0,0,0.545455,1,0,0,4,0,0,1,0,0,3,0,0,1,0,0,0,1,2
5365991,16,125,14,2,24,2,1,10,2,6,6,4,0,0,0,3,0,0.6875,0,0,0,5,1,0,4,0,0,2,2,0,1,0,0,0,1,2
6430998,11,123.636,10,1,16,1,0,6,3,5,3,3,0,0,0,3,0,0.636364,0,1,0,4,0,0,0,0,0,3,2,0,0,0,0,0,1,2
